id,language,gold_label,qwen_1_5b_claim_only_prediction,qwen_1_5b_gold_prediction,qwen_1_5b_bm25_prediction,qwen_1_5b_adversarial_prediction,qwen_14b_gold_prediction,qwen_14b_translated_prediction,qwen_1_5b_claim_only_correct,qwen_1_5b_gold_correct,qwen_1_5b_bm25_correct,qwen_1_5b_adversarial_correct,qwen_14b_gold_correct,qwen_14b_translated_correct,source_claim,source_gold_evidence,source_gold_label,source_language,num_systems_correct
afrifact_data_culture_igbo_384,igbo,supports,supports,supports,supports,refutes,supports,supports,True,True,True,False,True,True,"N'ịgbado ụkwụ n'oke ala nakwa ngwaahịa, Ahịa Main Market Ọnicha bụ otu n'ime ahịa kacha bu ibu n'ọdịda anyanwụ Afịrịka",Ahịa Ọnicha nke a makwaara dị ka Onitsha Main Market na bekee bụ otu n'ime ahịa kacha ibu na ọdịda anyanwụ Afrịka dabere na nha ala na oke ngwongwo ahịa a n'ere ebe ahụ.,supports,igbo,5
afrifact_data_culture_yoruba_723,yoruba,supports,nei,supports,supports,nei,supports,supports,False,True,True,False,True,True,"Abíọ́lá ní ìfẹ́ sí ìṣèlú látìgbà tí ó wà ní ọmọ ọdún mọ́kàndínlógún, ó sì bẹ̀rẹ̀ sí í kópa ní ẹgbẹ́ òṣèlú látàrí ìfẹ́ tí ó ní sí i.rẹ̀ sí i.","Abíọ́́lá jẹ́ Olóòtú ìwé ìròyìn ọ̀sọ̀ọ̀sẹ̀ ilé-ìwé wọn tí ó ń jẹ́ tí sì jẹ́ igbákejì rẹ. Ó dára pọ̀ mọ́ ẹgbẹ́ ní ìgbà tí ó di ọmọ ọdún mọ́kàndínlógún nítorí ìfẹ́ tí ó ní sí ètò òṣèlú àwa arawa ó darapọ́ mọ́ ẹgbẹ́ òṣèlú jẹ́ olùdásílẹ̀ rẹ̀ Ní ọdún 1960, Moshood jẹ àǹfàníi ẹ̀kọ́ ọ̀fẹ́ ti ijọba láti lọ ka ìwé ní University ti Glasgow ní ìlú Scotland ni ibi tí ó ti gba oyè nínú ìmọ̀ ìṣirò.",supports,yoruba,4
afrifact_data_culture_igbo_141,igbo,nei,nei,nei,supports,supports,nei,nei,True,True,False,False,True,True,Akwa mmiri ahụ adaala.,"Dịka ọ dị ugbua, amabeghi ihe ha kpatara na nzukọ a.",nei,igbo,4
afrifact_data_culture_igbo_301,igbo,refutes,refutes,refutes,supports,supports,nei,refutes,True,True,False,False,False,True,Naanị ikuku na ọhịa bụ ihe dị ka ọrụ ugbo mkpa iji wee ịga nke ọma,"Ọrụ ugbo chọrọ mmiri, aja di mma na ala di larịị.",refutes,igbo,3
afrifact_data_culture_hausa_827,hausa,supports,nei,supports,supports,nei,refutes,nei,False,True,True,False,False,False,Yan majalisar sun ce su wakilan jama'a ne don haka suna da ikon yin ƙarin ayyuka a cikin kasafin.,"Game da ayyukan da aka ce 'yan majalisar sun kara, ya ce su ma wakilai ne ""na jama'a kuma suna da damar sanya ayyukan da za su yi tasiri a rayuwar talaka,"" kamar yadda wata sanarwa da ya aike wa manema labarai ta ce.",supports,hausa,2
afrifact_data_culture_yoruba_592,yoruba,nei,refutes,nei,refutes,supports,refutes,nei,False,True,False,False,False,True,Gbogbo ìlú tí ó wà ní ìpínlẹ̀ Kwara ni ẹ̀yà náà tẹ̀dó sí.,"Àwọn méjì tí ó jẹ́ akíkanjú jùlọ ìyẹn Ajẹbú àti Olóde ni a pa orúkọ wọn pọ̀ tí ó wá di “AJẸ́BU-OLÓDE” èyí tí à ń pè ní ÌJẸ̀BÚ-ÒDE títí di òní olóni yìí. Èdè Ìjẹ̀bu ni àwọn ẹ̀yà yìí máa ń sọ. A sì le rí wọn káàkiri ilẹ̀ Nàìjíríà. Àpẹẹrẹ àwọn ìlú tí a lè rí ni ẹkùn Ìjẹ̀bú ni Ìjẹ̀bú-Òde, Musin, Ata-Ìjẹ̀bú, Imọ̀pè, Òdo-Pótu, Àgọ́-Ìwòyè, Ìjẹ̀bú-Igbó, Orù, Awà, Ìlápòrú, Ìṣònyìn, Ìpàrí-Ńlá, Òdokálàbà, Ìdọwá, Merígò, Òdoogbolú, Ọ̀ṣọṣà àti bẹ́ẹ̀ bẹ́ẹ̀ lọ.",nei,yoruba,2
afrifact_data_culture_hausa_515,hausa,supports,nei,supports,supports,nei,supports,supports,False,True,True,False,True,True,Sunna na nufin abinda Annabi (S.A.W) ya yi ko aka yi a gabansa bai hana ba.,"Asalin sunan ya zo ne daga kalmar Sunna , wato koyi da yin dukkan abun da Annabi (S.A.W.) ya aikata, ko ya yi umarni, da a aikata ko kuma aka aikata shi a gabansa amma baiyi hani akan abun da aka aikatan ba.",supports,hausa,4
afrifact_data_culture_yoruba_186,yoruba,supports,refutes,supports,supports,nei,supports,nei,False,True,True,False,True,False,Àwọn ọmọ ẹgbẹ́ PDP fẹ̀hónúhàn nílé ẹjọ́ gíga jùlọ lórí owó ìṣúná ẹ̀ka ìdájọ́.,"Àwọn ọmọ ẹgbẹ́ PDP fẹ̀hónúhàn nílé ẹjọ́ gíga jùlọ Iru ofin wo ni wọn fi n ṣe eto owo iṣuna ẹka idajọ tẹlẹ? Ṣaaju ki Aarẹ Buhari to o pa aṣẹ naa, awọn gomina ipinlẹ lo ma n sọ iye owo ti wọn yoo fun awọn ẹka ijọba yooku, to fi mọ yiyọnda owo naa fun wọn. O ma n farahan ninu aba owo isuna ti wọn n gbe lọ siwaju awọn aṣofin ipinlẹ.",supports,yoruba,3
afrifact_data_culture_yoruba_321,yoruba,supports,refutes,supports,refutes,nei,supports,supports,False,True,False,False,True,True,"Àwọn arákùnrin kan figbe ta nígbà tí wọ́n gbọ́ pé ọmọ Buhari fẹ́ ṣe ìgbeyawò, kódà ọ̀kan lára wọn ní òun máa ṣekú pa ara òun bí òun kò bá ní oore-ọ̀rẹ́ láti fẹ́ arábìnrin náà.","Amọ oniruuru awọn ọkunrin lo ti jade sita lati kede ifẹ ti wọn ni si Hanan, ni kete ti wọn gbọ pe o fẹ se igbeyawo,to si wu wọn lati fi se aya wọn. Koda, ọkan lara wọn ni Abba Ahmed, ẹni to kede pe oun setan lati pa ara oun ti ọmọ aarẹ ba fi se igbeyawo lẹyin oun. Ọpẹlọpẹ ileesẹ ọlọpaa to parọwa si ọkunrin naa, ti ko fi se bo se wi. Nibayii, Abdullahi Bashir, ẹni ọdun mejilelogun to tun ti yọju sita lori itakun agbaye, to si ni aise alabapade ọmọ aarẹ nilu Abuja lati fẹ, da irẹwẹsi si oun lara. Amọ Bashir, tii se ẹlomiran to tun sẹsẹ kede ifẹ rẹ si Hanan loju opo itakun agbaye, ni to ba jẹ pe ọmọ aarẹ fẹ oun ni, maalu aadọjọ ni oun ko ba fi san owo ori rẹ. Sugbọn ọkunrin naa, ni kete to gbọ pe oloruka ti gba oruka, ti Hanan si ti lọ sile ọkọ rẹ, lo ba gba fun Ọlọrun. Bashir, tii se darandaran nipinlẹ Adamawa lo kede pe oun ti yofẹ pẹlu ọmọ aarẹ ati awọn aworan fọto to n ya. O ni to ba see se ni, obinrin naa lo wu oun lati fi se aya. Iléeṣẹ́ Ọlọ́pàá dènà ọkùnrin tó fẹ́ pa ara rẹ̀ nítorí ọmọbìnrin Buhari Saaju la ti kọkọ mu iroyin wa fun yin pe ileeṣẹ ọlọpaa ni ipinlẹ Kano ni oun ti pẹtu sinu arakunrin kan, Abba Ahmed, to ni oun yoo pa ara oun ti ọmọ aarẹ Buhari, Hanan ko ba fẹ oun. Ahmed ti fi lede bayii pe oun ti jawọ ninu ero bẹẹ, nitori o ti han gbangba pe iru ero bẹẹ ko dara rara, ati wi pe ko fihan pe oun fẹran Hanan.",supports,yoruba,3
afrifact_data_culture_igbo_002,igbo,supports,supports,supports,supports,nei,supports,supports,True,True,True,False,True,True,Ndị edemede America na Dreux Richard bi na Okwe iji mezue ederede ya mgbe ọ nọ Naijiria.,Onye edemede America na onye edemede Dreux Richard bi na Okwe iji mezue ederede ya mgbe ọ nọ na Naijiria.,supports,igbo,5
afrifact_data_culture_yoruba_774,yoruba,supports,nei,supports,supports,nei,supports,supports,False,True,True,False,True,True,Lára àwọn òrìṣà tí Olódùmarè rán wá láti ìkọ̀lé ọ̀run sí ayé ni Èṣù. Ó sì wà láàárín àwọn ibọ ìran Yorùbá.,"Èṣù jẹ́ ọ̀kan lára àwọn tí àwọn ìran Yorùbá ń bọ. Ó wà lára àwọn òrìṣà tí Olódùmarè rán láti ìkọ̀lé ọ̀run wá sí ayé. Èṣù ni a lè pè ní olópàá tàbí agbófiró àwọn òrìṣà yòókù tí Olódùmarè rán. Ìdí nipé òun ní o máa rí i dájú pé wọ́n tèlé òfin. Bí ó tilẹ̀ jẹ́ pé orúkọ Eṣù tí yàtọ̀ láti orílè-èdè kan sí òmíràn, ọ̀nà tí wọ́n ń gbà sìn í kò yàtọ̀.",supports,yoruba,4
afrifact_data_culture_yoruba_731,yoruba,supports,supports,supports,supports,nei,supports,nei,True,True,True,False,True,False,"Ernest wà ní ipò láti ọjọ́ mẹ́rindínlọ́gbọ̀n, oṣù kẹjọ, ọdún 1993 títí dé ọjọ́ kẹ́tadínlógún, oṣù kọkànlá ọdún 1993 tí ó fi fẹ̀yìn tì.","Ernest Adégúnlé Oládéìǹdé Shónèkàn, ( ọjọ́ kẹẹ̀sán, oṣù Ebi ọdún1936 ní , orílẹ̀-èdè ) jẹ́ agbejọ́rò ará ilẹ̀ Nàìjíríà. Shónékà jẹ́ fún ìgbà díẹ̀ láti ọjọ mẹ́rìndínlọ́gbọ̀n, oṣù kẹ́jọ, ọdún 1993 títí dé ọjọ́ kẹtàdínlógún, oṣù kọkànlá, ọdún 1993 tí ọ̀gágun fipa gbà joba lọ́wọ́ rẹ̀.",supports,yoruba,4
afrifact_data_culture_hausa_266,hausa,nei,nei,nei,nei,supports,nei,nei,True,True,True,False,True,True,Jerin sunanyen wannan shekar ya fito daga ofishin shugaban makaranta.,"Ana haɗa shi da ko miyar taushe ko miyar wajen ci. . Wato tuwon shinkafa yana ɗaya daga cikin abincin gargajiya, saboda shi ma akan haɗa shi da garin masara wani sa’in. Amma mafi akasari wasu ba sa sa wa, sannan sunan tuwon shinkafa ya samo asali ne daga shinkafar da ake yinsa da ita.",nei,hausa,5
afrifact_data_culture_hausa_339,hausa,nei,nei,nei,supports,refutes,nei,nei,True,True,False,False,True,True,Najeriya ta buga wasan farko a gasar cin Kofin Afirka a shekarar 1963,"Baturen Ingila ne ya fara gabatar da kwallon kafa a Najeriya a farkon karni na ashirin.Wasan kwallon kafa na farko da aka yi rikodin a Nijeriya shi ne a shekara ta Alif 1904. Zuwa shekarar ta 1950, kwallon kafa ta zama wasan kasa na kasar. A wannan lokacin a tarihin Afirka, ƙasashe da yawa sun fara shiga cikin ƙungiyoyin kishin ƙasa inda suka nuna rashin amincewa da ikon mulkin mallaka.A Najeriya, kwallon kafa ta bai wa 'yan kasa abin alfahari na kasa tare da zaburar da su don samun' yancin siyasa.",nei,hausa,4
afrifact_data_culture_igbo_552,igbo,supports,supports,supports,supports,nei,nei,supports,True,True,True,False,False,True,Davido kwuru na enyi ya nwaanyị bụ Chioma nwere ọrịa coronavirus. Davido matara ọrịa enyi ya nwaanyị mgbe ha si London lọta.,Davido kọwara na ọ bu dịka o si njem Lọndọn lọta were mee nyocha ka ha chọpụtara na Chioma bụ coronavirus. Nwa ha nwoke ebughị ya bụ ọrịa. O kwuru na-ahu siri Chioma ike dịka o dopụrụ onwe ya ma na anata ọgwụgwọ.,supports,igbo,4
afrifact_data_culture_igbo_624,igbo,supports,nei,supports,supports,nei,supports,nei,False,True,True,False,True,False,Mmadụ iri asaa na asatọ nọ n'ime ụgbọelu Sibera Airlines si obodo Tel Aviv aga obodo Novobirsk Rọshịa nwụrụ ka ugbọelu ha dabara n'oshimiri ojii. Ndị agha Ukren gọrọ na aka ha adịghị ya mechaa kweta na aka ha dị na ya.,"Otu ụgbọelu Siberia Airlines plane si obodo Tel Aviv dị na Esrel aga obodo Novosibirsk, dị na Rọshia oge agbaturu ya. Ụgbọelu a dabara n'ime oshimiri ojii. Mmadụ 78 nọ n'ime ya nwụrụ. Ndị agha Ukren kwuburu na aka ha adịghị ya mana ha mechara kwenyere na ọ bụ ha. Ha sị na ọ bụ ka a na-akuziri ndị agha ka ihe mere.",supports,igbo,3
afrifact_data_culture_igbo_072,igbo,supports,nei,supports,supports,nei,supports,supports,False,True,True,False,True,True,"Na March 17, 1936, n'obodo Igbo dị na Atani ka a mụrụ Osadebe.","A mụrụ Osadebe na March 17, 1936, n'obodo Igbo dị na Atani na ndịda ọwụwa anyanwụ Naijiria.",supports,igbo,4
afrifact_data_culture_igbo_470,igbo,supports,nei,supports,supports,nei,supports,supports,False,True,True,False,True,True,"Irighiri ihe ndị e ji esi ofe egusi gụnyere mmanụ, ose, yabasị, akwụkwọ nri, crayfish, anụ, azụ, bitterleaf, pumpkin leaf na spinach.","E wezụga mkpụrụ, mmiri, na mmanụ, ofe egusi na-enwekarị akwụkwọ nri, , akwụkwọ nri ndị ọzọ, ihe na-esi ísì ụtọ, na anụ. Akwụkwọ nri ndị a na-ejikarị eme ofe egusi gụnyere bitterleaf, pumpkin leaf, celosia na spinach. Nri ndị ọzọ na-agụnye tomato na okra. Ihe ndị a na-ahụkarị na-agụnye ose chili, yabasị, na agwa igurube. A na-ejikarị anụ ehi, ewu, azụ, shrimp, ma ọ bụ crayfish.",supports,igbo,4
afrifact_data_culture_igbo_325,igbo,refutes,refutes,refutes,refutes,nei,nei,nei,True,True,True,False,False,False,Chinwoke Mbadinuju zọrọ ọkwa onye isi ala ka afọ anọ gachara Naịjirịa laghachiri n'ọchịchị onye kwuo uche ya n'afọ 2003.,"Gọvanọ nke Anambra Steeti [ | ] Anambra na Mgbe ọ laghachiri na ọchịchị onye kwuo uche ya na 1998, Chinwoke Mbadinuju ghọrọ onye na-azọ ọkwa gọvanọ nke People's Democratic Party (PDP) maka ọchịchị Anambra State",refutes,igbo,3
afrifact_data_culture_hausa_757,hausa,refutes,nei,refutes,refutes,nei,nei,nei,False,True,True,False,False,False,Chinenye Okafor ta bar wasan ƙwallon kafa ne saboda ra'ayin kanta.,"Chinenye Okafor ta koma mai kitso da gyaran gashi saboda rashin albashi Wannan ne halin da Chinenye Okafor ta tsinci kanta a ciki, amma ba haka abin yake ba kwata-kwata.",refutes,hausa,2
afrifact_data_culture_hausa_234,hausa,supports,nei,supports,supports,nei,supports,supports,False,True,True,False,True,True,Sarauniyar yankin za ta ba da rabin garin ga duk wanda ya kashe macijin.,"Washegari, mutanen Daura suka taru a bakin rijiyar, suna mamakin wanda ya kashe macijin; Magajiya , sarauniyar yankin ta ba da ikon mallakar rabin garin ga duk wanda zai tabbatar da cewa ya kashe macijin. Maza da yawa sun kawo kawunan maciji a gaba, amma kawunan bai dace da jikin ba.",supports,hausa,4
afrifact_data_culture_igbo_136,igbo,nei,nei,nei,supports,supports,nei,nei,True,True,False,False,True,True,Naanị ụmụnwaanyị ka a na-ebi ùgwù.,O kwusikwara ike na gọọm̀enti ya kwadosiri azụmahịa na mekọrịta nke mba ECOWAS.,nei,igbo,4
afrifact_data_culture_hausa_553,hausa,refutes,nei,refutes,supports,nei,nei,refutes,False,True,False,False,False,True,Bara wata sana'a ce da ta keɓanta ga ƙananan yara kawai.,Mabarata ba su karkashin wata makaranta kuma zasu iya zama yara ko manya ko tsofaffi.,refutes,hausa,2
afrifact_data_culture_igbo_283,igbo,refutes,refutes,refutes,supports,nei,refutes,refutes,True,True,False,False,True,True,Sam Mbakwe si Imo Steeti gaa wube mahadum nke Anambara n'afọ 1981,"N'afọ 1981, Sam Mbakwe hiwere mahadum Imo steeti. Ụlọ akwụkwọ ahụ dị na mpaghara e nyere n'afọ 1991 ma meekwa ya baptizim ọzọ nke Abia State University . Agbanyeghị, Mahadum Imo steeti nwetara ụlọ akwụkwọ ọhụrụ na ma ka dị.",refutes,igbo,4
afrifact_data_culture_hausa_732,hausa,supports,refutes,supports,supports,nei,supports,nei,False,True,True,False,True,False,Hukumar zaɓe zata raba manyan rumfunan zaɓe gida biyu saboda samun saukin gudanar jefa kuri'u.,"Sai dai tanadin Hukumar zabe shi ne a duk lokacin da ta ga rumfar ta yi girman da ya kai a dan yayyanka ta yadda ranar zabe za a samu gudanar da zabubbuka a cikin sauki, za ta yi haka, Za ta kuma tura karin ma'aikata domin a samu damar gudanar da zabe a wannan rumfa, ba tare da an samu wani tawaya ko jinkiri ba.",supports,hausa,3
