id,language,gold_label,qwen_1_5b_claim_only_prediction,qwen_1_5b_gold_prediction,qwen_1_5b_bm25_prediction,qwen_1_5b_adversarial_prediction,qwen_14b_gold_prediction,qwen_14b_translated_prediction,qwen_1_5b_claim_only_correct,qwen_1_5b_gold_correct,qwen_1_5b_bm25_correct,qwen_1_5b_adversarial_correct,qwen_14b_gold_correct,qwen_14b_translated_correct,source_claim,source_gold_evidence,source_gold_label,source_language,num_systems_correct
afrifact_data_culture_hausa_058,hausa,refutes,nei,supports,nei,nei,nei,nei,False,False,False,False,False,False,Usman Dan Fodiyo ɗan asalin kabilar Hausawa ne.,Shehu Usman Ɗan Fodiyo yayi yaki a tsakanin shekarar alif dubu ɗaya da ɗari takwas da huɗu (1804) har zuwa alif dubu ɗaya da ɗari takwas da sha biyu (1812) ya fito ne daga ƙabilar Toronkawa na fulani. ya kasance daga zuriyar ɗaya daga cikin dangin (Toronkawa) na ƙabilar dake zaune a cikin tun daga farkon shekara ta alif dubu ɗaya da ɗari hudu (1400),refutes,hausa,0
afrifact_data_culture_hausa_064,hausa,refutes,nei,supports,supports,nei,supports,nei,False,False,False,False,False,False,Sarauniya Amina ta samu sarautar Zazzau a shekarar 1533.,"Sarauniya Amina Sarauniyar Zazzau, ta rayu daga shekara ta alif 1533 zuwa shekara ta alif 1610, ɗaya ce daga cikin yara biyu da sarkin Bakwa ya haifa.",refutes,hausa,0
afrifact_data_culture_hausa_199,hausa,refutes,nei,supports,supports,nei,nei,nei,False,False,False,False,False,False,Zuwan turawan mulkin mallaka ya taimaka wurin musuluntar sarakunan gargajiya na Kano.,"Bayan zuwan Musulunci a ƙarni na 14 zuwa 15, muhimmancin Dutsen Dala wajen bauta ya ragu, domin sarakunan Kano suka rungumi Musulunci.",refutes,hausa,0
afrifact_data_culture_hausa_392,hausa,refutes,nei,supports,supports,nei,nei,nei,False,False,False,False,False,False,Mabiya JIBWIS suna gudanar da taruka na koyan girki da zaman lafiya a cikin al’umma.,"Jama'atu Izalatul Bidi'a Wa'Ikamatus Sunnah ( JIBWIS ). ƙungiyar addinin ce, mabiya tsira da amincin Allah su kara tabbata a gareshi. Sannan kuma an kafa wannan ƙungiyar ne a babban Birnin Jihar dake wanda babban malamin Musulunci kuma Babban Hafsan Sojan ya kafa, wato Sheikh Jos wanda kuma har yanzu Cibiyar Gudanarwa na ƙungiyar yana garin Jos a ƙarƙashin jagorancin Khalifa na farko na wannan ƙungiya wato Sheikh wanda kuma har yanzu Cibiyar Gudanarwa na kungiyar yana garin Jos a karkashin jagorancin Khalifa na farko na wannan ƙungiya wato Sheikh Ƙungiya ce da aka kafa ta da manufar yaƙi da bidi'o'i, wato ƙirqire-ƙirqire a cikin addini da kuma tabbatar da biyayya ga (Aminci Allah ya kara tabbata a gare shi) tare da abubuwan da ya zo da su daga Allah Maɗaukakin Sarki, ba tare da daɗi ko ragi ba.",refutes,hausa,0
afrifact_data_culture_hausa_463,hausa,refutes,supports,supports,supports,supports,nei,nei,False,False,False,False,False,False,Ma su arziƙi za su iya karɓar zakka don su ƙara jari.,(Faqirai) A kan Tafarkin Allah (Fi sabilillihi) Bayi Waɗanda ake jansu zuwa musulunci Miskinai Matafiyi wanda bada saɓon Allah ba Waɗanda ake bi bashi Masu aiki a kan dukiyan zakka,refutes,hausa,0
afrifact_data_culture_hausa_472,hausa,refutes,nei,supports,supports,supports,nei,nei,False,False,False,False,False,False,Mai azumi na iya saduwa da iyalinsa kafin rana ta faɗi.,Azumi shi ne kamewa daga barin cin abinci ko sha ko jima'i (saduwan tsakanin namiji da mace) ko shan taba ko allura ta abinci daga ketowar alfijir nabiyu har zuwa faduwan rana.,refutes,hausa,0
afrifact_data_culture_hausa_523,hausa,refutes,nei,nei,supports,nei,nei,nei,False,False,False,False,False,False,Gwamnatin Najeriya ce ta bada umarnin kashe Sheikh Ja'afar Mahmud Adam.,"Duk da yake wasu sun ce , wata kungiya mai tsattsauran ra'ayi, ta kashe Sheikh din, wasu sun ce Mista Shekarau, gwamnan Kano a lokacin, na iya kasancewa da alhakin saboda malamin yana daya daga cikin manyan masu sukar sa.",refutes,hausa,0
afrifact_data_culture_hausa_799,hausa,refutes,nei,supports,supports,nei,supports,nei,False,False,False,False,False,False,Sofia Sadek malama ce a makarantar firamare a ƙasar Tunisia.,"Sofia Sadek mawakiya ce 'yar kasar Tunisia, wadda shahararriya ce musamman a yankin Arewacin Afirka. AFP ta gano cewa bidiyon ya samo asali ne daga shafin Youtube, inda wani gidan rediyo mai suna Radio Med ya wallafa ranar 24 ga Satumbar 2016. Bidiyon yana dauke da taken ""Sofia Sadek tana karanta Kur'ani yayin wata hira"".",refutes,hausa,0
afrifact_data_culture_igbo_151,igbo,refutes,nei,nei,supports,nei,nei,nei,False,False,False,False,False,False,Ndị Ideato South abụghịkwa ndị ahịa.,Ha bụkwa ndị ahịa.,refutes,igbo,0
afrifact_data_culture_igbo_323,igbo,refutes,supports,supports,supports,nei,nei,nei,False,False,False,False,False,False,Ejike Obumneme Aghanya bụ onye nkụzi kpọ ụmụakwụkwọ ya wee gba ọsọ n'oge Agha Biafra.,"Ejike Obumneme Aghanya Ejike Ebenezer Obumneme Aghanya (27 Nọvemba 1932 - 3 Julaị 2020) bụ onye agha na onye injinia eletrik nke jere ozi na na ndị agha Biafran, na-ala ezumike nká dị ka onye colonel.",refutes,igbo,0
afrifact_data_culture_igbo_347,igbo,refutes,supports,supports,supports,nei,nei,nei,False,False,False,False,False,False,"Na Republic nke abụọ nke Nigeria, P.N. Okeke-Ojiudu ji ọkwa Gọvanọ Anambara. ","Ọ bụ Mịnịsta na-ahụ maka ọrụ ugbo site na 1959-1966, oge akpọrọ Nigeria First Republic . ",refutes,igbo,0
afrifact_data_culture_igbo_625,igbo,refutes,nei,supports,supports,nei,supports,nei,False,False,False,False,False,False,Henrietta Yakubu gwara ndị na-eme njem ụgbọelu ka ha na-eyichi ahụ ha nke ọma maka oyi.,"Yakubu kwuru sị ""Anyi ga-eme ọtụtụ nyocha maka ahụike, nke gụnyere igbu nje nwereike ị nọ n'akpa mmadụ. Ihe ndịa ga-ewe ọtụtụ oge nke mere na ọ dị mkpa ka ọnye ụgbọelu ya ga-apụ ihe dika elkere iri ka ọ bịa ọdọ ụgbọelu n'ihe dịka elekere asaa"". ",refutes,igbo,0
afrifact_data_culture_yoruba_077,yoruba,refutes,nei,supports,supports,supports,supports,nei,False,False,False,False,False,False,"Ọjọ́ kẹtàdínlọ́gbọ̀n, oṣù kẹta, ọdún 2020 ni òfin yìí ò ní ṣiṣẹ́ mọ́.","Oyo kéde pé kí àwọn òṣìṣẹ́ ìjọba dáwọ́ iṣẹ́ dúró nítorí coronavirus Ijọba ipinlẹ Ọyọ ti ti ilẹkun ileeṣẹ ijọba pa fun ọsẹ meji gbako nitori itankalẹ aarun coronavirus nipinlẹ naa. Gomina ipinlẹ naa, Seyi Makinde lo kede bẹ ẹ ninu atẹjade kan to fi sita loju opo Twitter rẹ lọjọru. Aṣẹ naa yoo bẹrẹ iṣẹ ni ọjọ Ẹti, ọjọ kẹtadinlọgbọn, oṣu Kẹta, ọdun 2020.",refutes,yoruba,0
afrifact_data_culture_yoruba_158,yoruba,refutes,supports,supports,supports,supports,nei,nei,False,False,False,False,False,False,Èdè Yorùbá àti èdè Kwa kò fi ibì kankan ní ìbátan rárá àti rárá.," Èdè Yorùbá jẹ́ èdè kan ti ó gbalẹ̀ tí ó sì wuyì káàkiri àgbáyé. Ìtàn sọ fún wa pé ìbátan ní èdè Yorùbá jé, kwa jẹ́ ẹ̀yà kan ní apá . A lè sọ pé àwọn tí wọ́n ń sọ èdè Yorùbá yàtọ̀ sí orílẹ̀ èdè Nàìjíríà lé ní Ọgbọ̀n mílíọ̀nùn tàbì jù bẹ́ẹ̀ lọ.",refutes,yoruba,0
afrifact_data_culture_yoruba_179,yoruba,refutes,nei,supports,supports,supports,supports,nei,False,False,False,False,False,False,"Òrìṣà ńlá tí wọ́n máa ń gbóríyìn fún ni Ṣági fún agbára rẹ̀ láti lè pèsè owó, ọlá, àti àṣeyọrí fún àwọn olùsìn rẹ̀.","Àwọn Yorùbá gbà gbọ́ pé Olókun ní ó bí Aje, èyí tí ó jẹ́ Òrìsà fún Ọrọ̀, Ọlá, tí ó wà ní ìsàlẹ̀ òkun. Olókun jẹ́ òrìsà tí ó ń darí àwọn ohun tí ó wà lábé Omi òkun, Ó sí jẹ́ òrìsà tí ó lágbára jù gbogbo ohùn tí ó wà lábé Omi òkun tàbí àwọn òrìṣà kékéèèké tí ó wà lábé Omi òkun. Olókun jẹ́ Òrìsà nlá tí wọn máa ń gbórínyìn fún nípa bí ó ti lágbára láti fún àwọn olúsín rẹ ní Owó, Ọlá, Ọrọ̀, àti àṣeyọrí nígbà tí wọn bá kìí tán. ",refutes,yoruba,0
afrifact_data_culture_yoruba_290,yoruba,refutes,nei,nei,nei,nei,nei,nei,False,False,False,False,False,False,Sunday Igboho ni àwọn ará Kebbi àti Zamfara kọ́ ló n jínígbé ní Oke Ogun.,"Femi Falana Gbajúgbajà agbẹjọ́rò àgbà tó tún jẹ́ ajàfẹ́tọ ọmọniyàn, Femi Falana, tí sàlàyé pé, Sunday Igboho kò lẹ́tọ̀ọ́ láti sọ pé kí ẹnikẹ́ni fi ìlú sílẹ̀, ó yẹ kí ó tẹ̀lé òfin ni. Falana sọ̀rọ̀ yìí lásìkò ìfọ̀rọ̀wérọ̀ rẹ̀ pẹ̀lú BBC l‘Ọjọru lórí ipò tí Nàìjíríà wà àti èrò rẹ̀ lórí àwọn olórí ẹ̀ṣọ́ ààbò tí ààrẹ Buhari yàn. Agbẹjọ́rò àgbà náà ní ""ìjọba gan kò létọ láti lé ẹnikẹni kúrò níbí tó wà nítori òfin Nàìjíríà gan sọ pé, lẹ́yìn ọdún mẹ́wàá tí ènìyàn bá ti gbé ní ìlú kan , ó lẹ́tọ̀ọ́ sí gbogbo ǹkan ti àwọn onílùú náà ní. Kódà kí ènìyàn jẹ́ ayálégbé, gan ó nílò àsìkò tó tó kí wọ́n tó le kúrò nínú ilé."" Ó wá rọ ìjọba ìpińlẹ̀ Oyo láti kọ́ àwọn ìbuba fún àwọn màálú.",refutes,yoruba,0
afrifact_data_culture_yoruba_377,yoruba,refutes,nei,supports,supports,supports,nei,nei,False,False,False,False,False,False,Àwọn ará-ìlú kọ̀ láti gbóríyìn fún Oṣinbajo fún iṣẹ́ takuntakun tó ṣe láti ri pé ètò ọrọ̀-ajé  ń lọ bó ṣe yẹ.,"Ko si idi meji tawọn ọmọ orilẹ-ede Naijiria fi n kan saara si Ọjọgbọn Oṣinbajo, ju awọn igbesẹ akọ to gbe lasiko to fi n dele fun aarẹ Muhammadu Buhari fun ọjọ mẹwaa to lọ lo fun isinmi laipẹ ati latẹyin wa. Amọ ṣa, gẹgẹ bii oloṣelu to wa lati ẹkun guusu orilẹ-ede Naijiria, ko daju pe Ọṣinbajo yoo lee dide dije fun ipo aarẹ lasiko idibo apapọ ọdun to n bọ, nitori ilana yan-ki-n-yan eleyi ti wọn fi le ori eto idipo-mu laarin ẹkun ariwa ati guusu orilẹ-ede naa. 'Ipaniyan ati ifiyajẹni lọna ti ko bofinmu lọwọ awọn ọlọpaa' Laipẹ yii ni Ọjọgbọn Ọṣinbajo paṣẹ atunto ikọ agbenawoju awọn adigunjale, FSARS ti o ti di atobi-maṣee-bawi bayii nitori oniruru ẹsun iwa ibajẹ ti wọn fi n kan wọn.",refutes,yoruba,0
afrifact_data_culture_yoruba_383,yoruba,refutes,supports,supports,supports,supports,nei,nei,False,False,False,False,False,False,"Àwọn fídíò tó ń lọ káàkiri orí Íńtánẹ́ẹ̀tì fi hàn pé àwọn òṣìṣẹ́ ń jẹ́ kí àwọn àlejò pàtàkì fi ọwọ́ kan òkúta náà ní ìkọ̀kọ̀, èyí tó fi hàn pé níṣe ni wọ́n ya àwọn kan sọ́tọ̀ tí òfin náà ò lè múnáà sílò.","Yatọ si Ka'abah, awọn alalaji ko tun ni fọwọ kan okuta dudu ti a mọ si Hajar Aswad, ti wọn si tun gbọdọ fi aye ijina sira ẹni iwọn mita kan ati aabọ si ara wọn silẹ, lasiko ti wọn ba n ṣe ijọsin . Ọpọ musulumi ni ko ni lanfani lati kopa ninu Hajj tọdun yii, nitori bi Saudi ti kede pe, eeyan diẹ ni yoo kopa ninu ijọsin yii, to jẹ opo kan pataki ninu ẹsin Islam.",refutes,yoruba,0
