id,language,gold_label,qwen_1_5b_claim_only_prediction,qwen_1_5b_gold_prediction,qwen_1_5b_bm25_prediction,qwen_1_5b_adversarial_prediction,qwen_14b_gold_prediction,qwen_14b_translated_prediction,qwen_1_5b_claim_only_correct,qwen_1_5b_gold_correct,qwen_1_5b_bm25_correct,qwen_1_5b_adversarial_correct,qwen_14b_gold_correct,qwen_14b_translated_correct,source_claim,source_gold_evidence,source_gold_label,source_language,num_systems_correct
afrifact_data_culture_igbo_301,igbo,refutes,refutes,refutes,supports,supports,nei,refutes,True,True,False,False,False,True,Naanị ikuku na ọhịa bụ ihe dị ka ọrụ ugbo mkpa iji wee ịga nke ọma,"Ọrụ ugbo chọrọ mmiri, aja di mma na ala di larịị.",refutes,igbo,3
afrifact_data_culture_hausa_827,hausa,supports,nei,supports,supports,nei,refutes,nei,False,True,True,False,False,False,Yan majalisar sun ce su wakilan jama'a ne don haka suna da ikon yin ƙarin ayyuka a cikin kasafin.,"Game da ayyukan da aka ce 'yan majalisar sun kara, ya ce su ma wakilai ne ""na jama'a kuma suna da damar sanya ayyukan da za su yi tasiri a rayuwar talaka,"" kamar yadda wata sanarwa da ya aike wa manema labarai ta ce.",supports,hausa,2
afrifact_data_culture_yoruba_592,yoruba,nei,refutes,nei,refutes,supports,refutes,nei,False,True,False,False,False,True,Gbogbo ìlú tí ó wà ní ìpínlẹ̀ Kwara ni ẹ̀yà náà tẹ̀dó sí.,"Àwọn méjì tí ó jẹ́ akíkanjú jùlọ ìyẹn Ajẹbú àti Olóde ni a pa orúkọ wọn pọ̀ tí ó wá di “AJẸ́BU-OLÓDE” èyí tí à ń pè ní ÌJẸ̀BÚ-ÒDE títí di òní olóni yìí. Èdè Ìjẹ̀bu ni àwọn ẹ̀yà yìí máa ń sọ. A sì le rí wọn káàkiri ilẹ̀ Nàìjíríà. Àpẹẹrẹ àwọn ìlú tí a lè rí ni ẹkùn Ìjẹ̀bú ni Ìjẹ̀bú-Òde, Musin, Ata-Ìjẹ̀bú, Imọ̀pè, Òdo-Pótu, Àgọ́-Ìwòyè, Ìjẹ̀bú-Igbó, Orù, Awà, Ìlápòrú, Ìṣònyìn, Ìpàrí-Ńlá, Òdokálàbà, Ìdọwá, Merígò, Òdoogbolú, Ọ̀ṣọṣà àti bẹ́ẹ̀ bẹ́ẹ̀ lọ.",nei,yoruba,2
afrifact_data_culture_igbo_739,igbo,refutes,supports,refutes,refutes,refutes,nei,nei,False,True,True,True,False,False,Mansur Dan-Ali nyere ndị agha Naịjirịa iwu ịkwaga Borno ngwangwa.,Ndị agha kwaga Borno ozugbo! Muhammadu Buhari na ndị isi agha Naịjirịa Gọọmenti etiti enyela ọchịagha Tukur Buratai iwu ya kwara ngwongwo ya gafee n'ọwaanyụ nke ukwu awusa ka ọ ga mara ebe ya bụ asuruasu dowere akaodo. Minista na ahụ maka ndị agha bụ Mansur Dan-Ali kwuputara nke a n'Abuja ụnyahụ.,refutes,igbo,3
afrifact_data_culture_yoruba_339,yoruba,supports,refutes,supports,supports,supports,nei,supports,False,True,True,True,False,True,"Ìròyìn fi lélẹ̀ pé ọ̀rẹ́ kòríkòsùn ní àwọn olorì méjèèjì yìí, tí wọ́n sì jọ máa ń wọ àǹkóò lọ sóde ní gbogbo ìgbà.","Mo ki ara mi ku oriire, mo si gba adura pe ki Ọlọrun tubọ maa bukun fun mi siwaju si. Emi ni iya onile tuntun lọwọlọwọ laarin igboro."" Iroyin ohun to n lọ fi ye ni pe kori-kosun ni Olori Folashade ati Olori Omowunmi, ti ajọsepọ to dan mọran si wa ni aarin awọn mejeeji. Ankoo asọ ni wọn maa n wọ lọ sode nigba gbogbo, ti wọn si maa n dijọ ya aworan papọ lori ayelujara lati fi han araye pe ọrẹ gidi ni awọn laafin Oyo. Bakan naa ni Olori Omowunmi fidi rẹ mulẹ pe kii se oun nikan ni oun gba ẹbun ile alarinrin yii, nitori ọrọ to sẹsẹ kọ soju opo Instagram rẹ lo sisọ loju eyi. Olori Omowunmi mi oun ati Olori Folashade ko sẹsẹ maa pe ara awọn ni oloriire julọ laarin awọn obinrin. ",supports,yoruba,4
afrifact_data_culture_igbo_552,igbo,supports,supports,supports,supports,nei,nei,supports,True,True,True,False,False,True,Davido kwuru na enyi ya nwaanyị bụ Chioma nwere ọrịa coronavirus. Davido matara ọrịa enyi ya nwaanyị mgbe ha si London lọta.,Davido kọwara na ọ bu dịka o si njem Lọndọn lọta were mee nyocha ka ha chọpụtara na Chioma bụ coronavirus. Nwa ha nwoke ebughị ya bụ ọrịa. O kwuru na-ahu siri Chioma ike dịka o dopụrụ onwe ya ma na anata ọgwụgwọ.,supports,igbo,4
afrifact_data_culture_igbo_325,igbo,refutes,refutes,refutes,refutes,nei,nei,nei,True,True,True,False,False,False,Chinwoke Mbadinuju zọrọ ọkwa onye isi ala ka afọ anọ gachara Naịjirịa laghachiri n'ọchịchị onye kwuo uche ya n'afọ 2003.,"Gọvanọ nke Anambra Steeti [ | ] Anambra na Mgbe ọ laghachiri na ọchịchị onye kwuo uche ya na 1998, Chinwoke Mbadinuju ghọrọ onye na-azọ ọkwa gọvanọ nke People's Democratic Party (PDP) maka ọchịchị Anambra State",refutes,igbo,3
afrifact_data_culture_hausa_757,hausa,refutes,nei,refutes,refutes,nei,nei,nei,False,True,True,False,False,False,Chinenye Okafor ta bar wasan ƙwallon kafa ne saboda ra'ayin kanta.,"Chinenye Okafor ta koma mai kitso da gyaran gashi saboda rashin albashi Wannan ne halin da Chinenye Okafor ta tsinci kanta a ciki, amma ba haka abin yake ba kwata-kwata.",refutes,hausa,2
afrifact_data_culture_yoruba_306,yoruba,supports,supports,supports,supports,supports,nei,supports,True,True,True,True,False,True,"Àwọn abiyamọ tí ọmọ wọn ní ìpènijà ara máa ń la ọ̀pọ̀lọpọ̀ nǹkan kọjá, bẹ́ẹ̀ sì ni ìdojúkọ wọn pọ̀ rẹpẹtẹ nítorí ọ̀pọ̀ nǹkan ni ojú wọn máa ń rí.","Ìyá ọlọ́mọ mẹ́ta ọ̀hún sọ pé ìbànújẹ́ òun maa n wáyé látara bí àwọn ènìyàn ṣe maa n wo òun, àti ìhùwàsí wọn si i lójoojúmọ́. Fídíò mánigbàgbé nípa ìgbà ayé Bàbá Sala ""Ní ìbẹ̀rẹ̀ pẹ̀pẹ̀, mó maa n bi ara mi lérè pé kí lódé tí Ọlọrun fún mi nírú ọmọ bẹ́ẹ̀.'' Abílékọ Mutemi, tó n gbé l'ábúlé Katoloni ní ẹkùn ìlà oorùn Kenya sọ pé ''Ó ṣòro fún mi láti rìn láàrin ìlú pẹ̀lú ọmọ mi, nítorí ojú burúkú tí àwọn ènìyàn fí n wò mí. Agnes sọ pé àìsàn tí wọ́n n pè ní Asphyxia ni ọmọ òun ní. Àìsàn nàá maa n jẹyọ tí ọmọ tuntun kò bá rí atẹ́gùn gbà sára lásìkò tí ìyá rẹ̀ bá n rọbí. Èyí ló fà á tí ẹsẹ̀ rẹ̀ kò ṣe ní àláàfíà, tí wàhálà sí bá ọpọlọ rẹ̀ nàá. Bí o ṣe gba ìwòsàn Lẹ́yìn ọ̀pọ̀lọpọ̀ àbẹ̀wò sí iléèwòsàn, Agnes lọ fi orúkọ ọmọ rẹ̀ sílẹ̀ ní ìléèwé kan tó n kọ́ àwọn ọmọdé nígbà tó wà l'ọ́mọ ọdún mẹ́ta.",supports,yoruba,5
afrifact_data_culture_hausa_553,hausa,refutes,nei,refutes,supports,nei,nei,refutes,False,True,False,False,False,True,Bara wata sana'a ce da ta keɓanta ga ƙananan yara kawai.,Mabarata ba su karkashin wata makaranta kuma zasu iya zama yara ko manya ko tsofaffi.,refutes,hausa,2
afrifact_data_culture_hausa_792,hausa,supports,nei,supports,supports,nei,nei,supports,False,True,True,False,False,True,Jihohin Florida da Ohio na daga cikin manyan jihohin da duk wani ɗan takarar shugabancin kasar Amurka ke buƙatar ci don samun nasara.,Fagen fafatawa kamar jihohin Florida da Ohio na da matuƙar muhimmanci wajen tattara ƙuri'u 270 na masu zaɓen shugaban kasa na musamman da ake bukata wajen cin galabar samun Fadar White House,supports,hausa,3
afrifact_data_culture_yoruba_606,yoruba,supports,refutes,supports,supports,nei,refutes,supports,False,True,True,False,False,True,"Ìgè kú ní ọjọ́ kẹtàlélógún oṣù kejìlá, ọdún 2001 tí wọ́n fipá gba èmí rẹ̀.","A bí Ìgè ní ọjọ́ kẹtàlá oṣu kẹsàán ọdún 1930, ó di olóògbé ní ọjọ́ kẹtàlélógún oṣu kejìlá ọdún 2001. Ìgè di Alákòóso (mínísítà) ìjọba àpapọ̀ fún ẹ̀ka ètò ìdájọ́ àti Agbẹjọ́rò-Àgbà ìjọba àpapọ̀̀ láàrín ọdún 2000 títí di ọdún 2001 tí wọ́n fi fipá gba ẹ̀mí rẹ̀ nínú oṣù Kejìlá ọdún 2001. Ìgè jẹ gómìnà láti osù kẹwàá ọdún 1979 títí dé osù kẹwàá ọdún 2003. Lẹ́yìn ìgbàtí ìjọ̀ba olósèlú padà dé ní ọdún 1999. ̣̣̣̣̣̣̣̣̣́́́́́́́ Ìbẹ̀rẹ̀ ayé rẹ̀ [ | ] Wọ́n bí Jèmísìì Ajíbọ́lá Ìdòwú Adégòkè Ìgè ní ìlú ní ní ọjọ́ kẹtàlá oṣù kẹsàn-án ọdún 1930 bí ó tiḷẹ̀ jẹ́ pé ọmọ bíbí ìlú ní ni àwọn òbí rẹ̀. Ìgè gbéra lọ sí ìlú ní dédé ọmọ ọdún mẹ́rìnlá láti lọ kẹ́kọ́ nílé ẹ̀kọ́ ní àárín ọdún 1943 sí 1948.",supports,yoruba,3
afrifact_data_culture_yoruba_309,yoruba,supports,refutes,supports,supports,nei,nei,nei,False,True,True,False,False,False,Sunday Igboho tẹ̀lẹ̀ àwọn ọlọ́pàá lọ sí ilé Seriki ní Igangan pẹ̀lú ìgboyà lẹ́yìn tí wọ́n fi ẹ̀sùn jíjó ilè náà kàn án láti fi ìdí rẹ̀ múlẹ̀ pẹ́ òun kò mọ ohunkóhun nípa rẹ̀.,"Sé lọ́ọ̀tọ́ ni Sunday Igboho jó ilé Seriki fulani ní Igangan? Ẹ jẹ́ kí n sàlàyé kí ọ̀rọ̀ le tán nílẹ̀. ""Nígbà tí mo dé Eruwa, mó lọ fi ara mi hàn lágọ̀ọ́ ọlọ́pàá, mò sì sọ ǹkan ti mo bá wá si àdúgbò náà, adáriu ẹka ilé iṣẹ́ ọlọ́pàá náà sì gbà láti tẹ̀lẹ́ wá lọ. Nígbà tí a de Igangan, à tún bá àwọn 'ọlọ́pàá operation Burst' a lọ sínú ]ilú náà rán pẹ́ asì pada lẹ́sẹ̀kẹsẹ̀ láti lọ sọ fún àwọn ọlọ́pà''a. Ìbéérè mi ni pé, ṣe ọ̀gá ọlọ́pàá yóà máa wò wá kí a lọ má dáná sun ilé Seriki? Sé ọlọ́pàá Operation Burst yóò jk kí a lọ tí a bá dáná sun ilé Seriki? Kò sí nkan tó jọ bẹ́ẹ̀ nígbà tí a wà níbẹ̀ nítorí náà àwa kọ́ ni a dáná sun ilé Seriki Fulani. Sunday Igboho wa gba gbogbo ọmọ Kárọ̀-oojíre nímọ̀ràn pé kí wọ́n wà ní ìṣọ̀kàn kí wọ́n sìmì ọ̀rọ̀ òṣèlú ṣíṣe lórí ǹkan tó niṣe pẹlú igbésí ayé àwọn ènìyàn.",supports,yoruba,2
