id,language,gold_label,qwen_1_5b_claim_only_prediction,qwen_1_5b_gold_prediction,qwen_1_5b_bm25_prediction,qwen_1_5b_adversarial_prediction,qwen_14b_gold_prediction,qwen_14b_translated_prediction,qwen_1_5b_claim_only_correct,qwen_1_5b_gold_correct,qwen_1_5b_bm25_correct,qwen_1_5b_adversarial_correct,qwen_14b_gold_correct,qwen_14b_translated_correct,num_systems_correct
afrifact_data_culture_hausa_058,hausa,refutes,nei,supports,nei,nei,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_hausa_064,hausa,refutes,nei,supports,supports,nei,supports,nei,False,False,False,False,False,False,0
afrifact_data_culture_yoruba_179,yoruba,refutes,nei,supports,supports,supports,supports,nei,False,False,False,False,False,False,0
afrifact_data_culture_yoruba_635,yoruba,refutes,nei,supports,supports,nei,supports,nei,False,False,False,False,False,False,0
afrifact_data_culture_yoruba_383,yoruba,refutes,supports,supports,supports,supports,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_hausa_523,hausa,refutes,nei,nei,supports,nei,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_yoruba_377,yoruba,refutes,nei,supports,supports,supports,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_hausa_392,hausa,refutes,nei,supports,supports,nei,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_yoruba_557,yoruba,refutes,supports,nei,supports,supports,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_hausa_472,hausa,refutes,nei,supports,supports,supports,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_hausa_463,hausa,refutes,supports,supports,supports,supports,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_yoruba_077,yoruba,refutes,nei,supports,supports,supports,supports,nei,False,False,False,False,False,False,0
afrifact_data_culture_hausa_799,hausa,refutes,nei,supports,supports,nei,supports,nei,False,False,False,False,False,False,0
afrifact_data_culture_yoruba_749,yoruba,refutes,supports,supports,supports,supports,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_yoruba_578,yoruba,refutes,nei,supports,supports,supports,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_yoruba_158,yoruba,refutes,supports,supports,supports,supports,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_yoruba_548,yoruba,refutes,supports,supports,supports,supports,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_hausa_546,hausa,supports,refutes,refutes,refutes,nei,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_hausa_618,hausa,supports,nei,refutes,refutes,refutes,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_igbo_768,igbo,supports,nei,refutes,refutes,nei,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_igbo_625,igbo,refutes,nei,supports,supports,nei,supports,nei,False,False,False,False,False,False,0
afrifact_data_culture_hausa_199,hausa,refutes,nei,supports,supports,nei,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_igbo_151,igbo,refutes,nei,nei,supports,nei,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_igbo_374,igbo,supports,refutes,refutes,refutes,nei,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_yoruba_566,yoruba,refutes,nei,supports,supports,supports,supports,nei,False,False,False,False,False,False,0
afrifact_data_culture_yoruba_431,yoruba,refutes,nei,supports,supports,supports,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_yoruba_290,yoruba,refutes,nei,nei,nei,nei,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_igbo_347,igbo,refutes,supports,supports,supports,nei,nei,nei,False,False,False,False,False,False,0
afrifact_data_culture_igbo_323,igbo,refutes,supports,supports,supports,nei,nei,nei,False,False,False,False,False,False,0
