id,language,gold_label,qwen_1_5b_claim_only_prediction,qwen_1_5b_gold_prediction,qwen_1_5b_bm25_prediction,qwen_1_5b_adversarial_prediction,qwen_14b_gold_prediction,qwen_14b_translated_prediction,qwen_1_5b_claim_only_correct,qwen_1_5b_gold_correct,qwen_1_5b_bm25_correct,qwen_1_5b_adversarial_correct,qwen_14b_gold_correct,qwen_14b_translated_correct,source_claim,source_gold_evidence,source_gold_label,source_language,num_systems_correct
afrifact_data_culture_hausa_657,hausa,nei,refutes,refutes,supports,nei,nei,nei,False,False,False,True,True,True,Shugaba Muhammadu Buhari ya kaddamar da eNaira a ranar 20 ga watan Yunin 2016.,"An samo sunan “Naira” daga kalmar “Nigeria” ta Obafemi Awolowo.Sai dai kuma, Naira a matsayin kudin da Shehu Shagari ya kaddamar a matsayin ministan kudi a shekarar 1973. Babban bankin Najeriya ya yi ikirarin cewa sun yi yunkurin shawo kan hauhawar farashin kayayyaki a duk shekara kasa da kashi 10%.",nei,hausa,3
afrifact_data_culture_igbo_749,igbo,refutes,supports,supports,supports,supports,refutes,refutes,False,False,False,False,True,True,Ihe isi ike anaghị emetụta ihe ndị e ji alụ ụm̀ụ nwaanyị Igbo. Ụmụ ntorobịa Igbo kwuru na ha zuru ka emee.,"Ndị ntorobia Igbo: Belatanụ Ihe eji alụ nwaanyị Ndị ntorobia Igbo akpola oku ka obodo dị n'Igbo wedata ihe ndị ọ na-eri iji lụọ nwaanyị n'ala igbo. Ndị ntorobịa kwuru a nke na mkparịtaụka BBC hiwere na Facebook ụbọchị Fraide rụtụ®ụaka na ihe isi ike, ihe ilụnwaanyị na-erị nakwa oke mgbuchi nne nna na Igbo na-egbuchi ụmụ ha ndị nwaanyị so 'ihe na akpata alụghhị di maọbụ nwaanyị n'oge.",refutes,igbo,2
afrifact_data_culture_hausa_081,hausa,nei,refutes,refutes,refutes,nei,nei,nei,False,False,False,True,True,True,Rabiu Musa Kwankwaso ne ya naɗa Sunusi Lamido Sunusi sarautar Kano bayan mutuwar Ado Bayero.,"Ado Bayero ya kasance kafin ya zama sarkin kano shahararren ɗan kasuwa ne, kuma yayi aikin banki, tsohon ɗan sanda ne kuma Sannan yayi aiki a matsayin jakadan [Nijeriya]",nei,hausa,3
afrifact_data_culture_igbo_241,igbo,refutes,supports,supports,supports,nei,refutes,refutes,False,False,False,False,True,True,Ụfọdụ ụlọakwụkwọ dị na Beijing na Shanghai emepebeghị dịka ụmụakwụkwọ agaghị akwụkwọ taa,Ụfọdụ ụlọakwụkwọ dị na Beijing na Shanghai emepekwaala dịka ụmụakwụkwọ malitere ịga akwụkwọ taa.,refutes,igbo,2
afrifact_data_culture_igbo_424,igbo,nei,refutes,supports,supports,nei,nei,nei,False,False,False,True,True,True,O bụ ịkọ ọrụ ugbo so na ọrụ ndị mba Brazil dabere na ya isi na-abawanye ọnọdụ akụ na ụba ha ruo ugbu a.,"Mbaise bụ mpaghara dị na Imo Steeti na ndịda ọwụwa anyanwụ . N'etiti , mpaghara ahụ gụnyere ọtụtụ obodo na obodo ukwu. Ndị bi na ya bụ ndị agbụrụ, ndị jikọtara site na alụmdi na nwunye. Mbaise bụ mpaghara kacha nwee ọnụ ọgụgụ mmadụ n'Ebe Ọdịda Anyanwụ Afrịka; ọnụ ọgụgụ ndị bi na ya n'afọ 2006 bụ puku narị isii na iri nà otu, narị abụọ na anọ.",nei,igbo,3
afrifact_data_culture_igbo_173,igbo,refutes,supports,supports,supports,supports,refutes,nei,False,False,False,False,True,False,Otu onye bi n'Anambra kwuru na ọ ruola afọ iri mmiri gbadebere na mpaghara ya.,Otu onye bi Enugwu sị na o ruola afọ iri mmiri gbadebere na mpaghara ya bi n'Enugwu.,refutes,igbo,1
afrifact_data_culture_igbo_029,igbo,refutes,nei,supports,supports,nei,refutes,refutes,False,False,False,False,True,True,Ozi a ha wepụtara adịghị n'akara twitter ha.,Nke a dị n'ozi ha wepụtara n'akara twitter ha.,refutes,igbo,2
afrifact_data_culture_yoruba_295,yoruba,nei,refutes,refutes,supports,nei,nei,nei,False,False,False,True,True,True,"Sunday Igboho ní pé àwọn Fulani kò leè dúró, táa bá lo ohun tí a jogún lọ́dọ̀ àwọ̀n bàbá ńlá wa.","Awọn ara adugbo naa ti wa rọ ijọba ipinlẹ Ọyọ lati tete da si ọrọ naa tori kii se igba akọkọ ree ti awọn ọmọ onilẹ yoo wa maa dun mahuru-mahuru mọ wọn lori ilẹ ti wọn ti ra lati ọdun gbọọrọ. Gẹgẹ bi iroyin naa ti wi, nigba ti BBC Yoruba kan si agbẹnusọ fun ileesẹ ọlọpa nipinlẹ Ọyọ, Olugbenga Fadeyi lati gbọ tẹnu rẹ, o ni ka pe oun pada laipẹ.",nei,yoruba,3
afrifact_data_culture_hausa_403,hausa,refutes,nei,supports,nei,nei,refutes,refutes,False,False,False,False,True,True,Babu bambanci tsakanin ambaton Musa da Yesu a Al-Qur’ani.,"A Musulunci, Musa fitaccen Annabi ne kuma manzon Allah kuma mutum ne da aka fi ambata a cikin Alkur’ani, inda aka ambaci sunansa har sau 136, an kuma ba da labarin rayuwarsa fiye da na kowane Annabi. Ana ɗaukan Yesu wani annabi mai muhimmanci tare da haihuwarsa mara uba, (66:12, 21:89) na musamman tare da furcin da aka yi amfani da shi a gare shi, kamar “kalmar” da “ruhu” daga wurin Allah da kuma sura da aka keɓe ga uwarsa Maryamu a cikin Littafi Mai Tsarki.",refutes,hausa,2
afrifact_data_culture_hausa_579,hausa,nei,nei,refutes,supports,supports,nei,nei,True,False,False,False,True,True,Duk farkon damuna manoma na yin amfani da lauje wurin cire ƙiraren ciyawa da suka bushe.,"Haka kuma suna wani karin magana ""akwai lauje cikin naɗi"" ma'ana in kaji bahaushe yace akwai lauje cikin naɗi, kenan akwai wani munafunci.",nei,hausa,3
afrifact_data_culture_yoruba_763,yoruba,nei,refutes,supports,supports,supports,nei,nei,False,False,False,False,True,True,"Ní àgbáyé, ọbẹ̀ jẹ́ ohun pàtàkì nínú oúnjẹ tí ènìyàn ń jẹ láti lókun.","Ọbẹ̀ Oha jẹ́ ọbẹ̀ tó wọ́pọ̀ ní apá gúúsù mọ́ ìlà-oòrùn orílẹ̀-èdè . Ọbẹ̀ oha jẹ́ ọbẹ̀ agbègbè Ìlà-oòrùn, tó sì jẹ́ pé àwọn ará Íbò ni wọ́n sábà máa ń sè é, láti ará igi ewébẹ̀ láéláé tí orúkọ sáyẹ́ńsì rẹ̀ ń ṣe Pterocarpus mildraedii ni ọbẹ̀ náà ti ṣẹ̀.",nei,yoruba,2
afrifact_data_culture_hausa_338,hausa,nei,nei,supports,supports,nei,nei,nei,True,False,False,True,True,True,Super Eagles sun lashe Gasar Cin Kofin Afirka ta farko,"Baturen Ingila ne ya fara gabatar da kwallon kafa a Najeriya a farkon karni na ashirin.Wasan kwallon kafa na farko da aka yi rikodin a Nijeriya shi ne a shekara ta Alif 1904. Zuwa shekarar ta 1950, kwallon kafa ta zama wasan kasa na kasar. A wannan lokacin a tarihin Afirka, ƙasashe da yawa sun fara shiga cikin ƙungiyoyin kishin ƙasa inda suka nuna rashin amincewa da ikon mulkin mallaka.A Najeriya, kwallon kafa ta bai wa 'yan kasa abin alfahari na kasa tare da zaburar da su don samun' yancin siyasa.",nei,hausa,4
afrifact_data_culture_igbo_765,igbo,nei,refutes,supports,supports,nei,nei,nei,False,False,False,True,True,True,Gọọmentị Naịjerịa na-achọ ụzọ ha ga-esi ebite ego ha ga-etinye n'ọrụ ugbo.,"Mmefu ego gọọmentị na ịkwụghachi ego mbite na-arị elu mana ego dị n'akpaego obodo ejirila pasentị 45 ghara iru ihe o kwesiri kemgbe afọ 2015. N'agbanyeghi nke a, onyeisiala Naịjirịa ebunyela ụlọọrụ na-elekọta ụgwọ ụtụ isi ukpa ekele maka iwulite ọnụ ọgụgụ ndị na-akwụ ụgwọ ụtụ isi kemgbe afọ 2015.",nei,igbo,3
afrifact_data_culture_hausa_454,hausa,nei,nei,supports,supports,refutes,nei,nei,True,False,False,False,True,True,Ana aikin Hajji ne a ƙarshen shekarar musulunci.,"Mahajjata Aikin Hajji Musulmai suna tafiya a ranar Arfa daga minna Aikin Hajji, Ɗaya ne daga cikin rukunai guda biyar da aka gina addinin akai .",nei,hausa,3
afrifact_data_culture_hausa_195,hausa,nei,refutes,supports,supports,supports,nei,nei,False,False,False,False,True,True,Zuwa gidajen shaƙatawa yana ɗebewa mutane kewa ya kawar mu su da damuwarsu.,"An kafa wurin shakatawa na Kainji a shekara ta 1978 kuma an raba shi zuwa sassa uku daban-daban, Zugurma Game Reserve, Borgu Game Reserve da Kainji Lake.",nei,hausa,2
afrifact_data_culture_igbo_455,igbo,nei,supports,supports,supports,nei,nei,nei,False,False,False,True,True,True,"N'oge Chris Nwabueze Ngigeji ọkwa Gọvanọ Anambra Steeti, ndị òtù Peoples Democratic Party gbahapụrụ ya",Ọ bụ gọvanọ Anambra steeti na Naịjirịa site na Mee 2003 ruo Maachị 2006 n'okpuru People's Democratic Party (PDP).,nei,igbo,3
afrifact_data_culture_yoruba_148,yoruba,nei,nei,supports,supports,supports,nei,nei,True,False,False,False,True,True,"Asúnrétete kò ní kọjá ilé, Arìngbẹ̀rẹ̀ kò ní sùn sọ́nà.","Lẹ́hìn èyí, tí àwọn méjèèjì sí ti gbà fún Ọlọ́hun wọn Allah tí wọ́n sì ṣe ijúwọ̀-jusẹ̀ sílè fún Ìfẹ Ọlọ́hun), tí òun (Ibrahim) sí tí tẹ́ orí ẹ́e (Ishamel) lọ sílẹ̀ (ní ààyè itébà sí iwájú); ""Báyìí náà ní Àwa sí pé òun: ""Ìwọ Ibrahim o!"" ""Ìwọọ (Ibrahin) tí ṣe gẹ́gẹ́ bí A ti fi hàn ó (ní ojúran) ní òtítọ àti ní òdodo! Báyìí náà sì ní Àwa ṣe má ń san ẹ̀san fún (gbogbo àwọn) Múhsínùn (olùṣe rere lótitọ àti l'ódodo) - Sheikh Adélabú ṣe ìtọka sí Ẹsẹ Ọrọ Ọlọ́hun nínú kúránì Orí 2:112)."" Láì kọ́ ṣe àníàní, ìdánwò nlá tí ó fi ojú hàn gbángba ní eléyìí jẹ́. Nítorí ìdí èyí ní À wa fi ṣe ìrópò (gẹ́gẹ́ bí ìràpadà) ọmọ (Ishamael) tí òun (Ibrahim) náà pẹ̀lú àgùntàn kàn bọ̀lọ̀jọ̀ (láti fi dípò ní ṣíṣe ìdúpẹ́ òòrè láti Ọ̀dọ̀ Ọlọ́hun)",nei,yoruba,3
afrifact_data_culture_hausa_163,hausa,nei,nei,supports,supports,nei,nei,refutes,True,False,False,True,True,False,Tsadar fitulu masu amfani da hasken rana ne yasa gwamnatoci ke barin titinan jiharsu a cikin duhu.,"Sanya fitulun titi masu amfani da hasken rana a babban birnin jihar ya kara inganta rayuwar mazauna jihar, tare da inganta tsaro da tsaro.",nei,hausa,3
afrifact_data_culture_hausa_578,hausa,nei,refutes,supports,supports,supports,nei,nei,False,False,False,False,True,True,Bahaushe ya na da karin magana daban-daban da ya ke amfani dasu wurin isar da saƙonni.,"Akan yi yankan ciyawa dashi domin a baiwa dabbobi na gida, da kuma yankan da amma anfi amfani dashi wajen yankan ciyawa wacce ake bawa awakai da tumaki har da dan maraqin sa.",nei,hausa,2
