id,language,gold_label,qwen_1_5b_claim_only_prediction,qwen_1_5b_gold_prediction,qwen_1_5b_bm25_prediction,qwen_1_5b_adversarial_prediction,qwen_14b_gold_prediction,qwen_14b_translated_prediction,qwen_1_5b_claim_only_correct,qwen_1_5b_gold_correct,qwen_1_5b_bm25_correct,qwen_1_5b_adversarial_correct,qwen_14b_gold_correct,qwen_14b_translated_correct,source_claim,source_gold_evidence,source_gold_label,source_language,num_systems_correct
afrifact_data_culture_igbo_058,igbo,nei,supports,nei,supports,nei,nei,nei,False,True,False,True,True,True,Ngagharị iwe a bụ ụzọ e si edozi esemokwu.,Ọ bụ nnukwu nnupụisi mbụ ụmụ nwanyị mere na West Africa.,nei,igbo,4
afrifact_data_culture_igbo_141,igbo,nei,nei,nei,supports,supports,nei,nei,True,True,False,False,True,True,Akwa mmiri ahụ adaala.,"Dịka ọ dị ugbua, amabeghi ihe ha kpatara na nzukọ a.",nei,igbo,4
afrifact_data_culture_igbo_301,igbo,refutes,refutes,refutes,supports,supports,nei,refutes,True,True,False,False,False,True,Naanị ikuku na ọhịa bụ ihe dị ka ọrụ ugbo mkpa iji wee ịga nke ọma,"Ọrụ ugbo chọrọ mmiri, aja di mma na ala di larịị.",refutes,igbo,3
afrifact_data_culture_igbo_735,igbo,nei,refutes,nei,refutes,nei,nei,nei,False,True,False,True,True,True,"Nnamdị Kanu bụ omeiwu. Ụgbụa, a kpọgara ya ụlọ nga dị na Sokoto.",N'ofesi Otu onye oji egbe agbagbuola ihe ruru mmadụ isii n'otu ụlọọgwụ dị na mba Czech Republic ma gbagbuo onwe ya n'akụkọ ebe ahụ. Ndị uweojii hụrụ ozu nwoke a dịka ọ tọgbọ site n'ọnya egbe ọ gbara onwe ya n'isi.,nei,igbo,4
afrifact_data_culture_yoruba_592,yoruba,nei,refutes,nei,refutes,supports,refutes,nei,False,True,False,False,False,True,Gbogbo ìlú tí ó wà ní ìpínlẹ̀ Kwara ni ẹ̀yà náà tẹ̀dó sí.,"Àwọn méjì tí ó jẹ́ akíkanjú jùlọ ìyẹn Ajẹbú àti Olóde ni a pa orúkọ wọn pọ̀ tí ó wá di “AJẸ́BU-OLÓDE” èyí tí à ń pè ní ÌJẸ̀BÚ-ÒDE títí di òní olóni yìí. Èdè Ìjẹ̀bu ni àwọn ẹ̀yà yìí máa ń sọ. A sì le rí wọn káàkiri ilẹ̀ Nàìjíríà. Àpẹẹrẹ àwọn ìlú tí a lè rí ni ẹkùn Ìjẹ̀bú ni Ìjẹ̀bú-Òde, Musin, Ata-Ìjẹ̀bú, Imọ̀pè, Òdo-Pótu, Àgọ́-Ìwòyè, Ìjẹ̀bú-Igbó, Orù, Awà, Ìlápòrú, Ìṣònyìn, Ìpàrí-Ńlá, Òdokálàbà, Ìdọwá, Merígò, Òdoogbolú, Ọ̀ṣọṣà àti bẹ́ẹ̀ bẹ́ẹ̀ lọ.",nei,yoruba,2
afrifact_data_culture_igbo_273,igbo,nei,refutes,nei,refutes,nei,nei,nei,False,True,False,True,True,True,"Mmanya ndị dị ka fanta, coke na sprite na-amasị ụmụaka iji je akwụkwọ","Eji aha dị iche iche mara ya na mpaghara dị iche iche ma bụrụkwa ihe a na-ahụkarị na mpaghara Eshia, Africa, Caribbean, South America na Micronesia . ",nei,igbo,4
afrifact_data_culture_igbo_604,igbo,nei,refutes,nei,refutes,nei,nei,nei,False,True,False,True,True,True,Ọnụọgụ mmadụ puku abụọ na itoolu anwụọla na mba Kenya n'ihi nje Ebola.,A na-eche na ọtụtụ mmadụ anwụọla na mpaghara Festac dị na Legọs a na-akpọ Abule Ado dịka igwe na-ebu gassị nwuru ọkụ ma gbaa ka ogbunigwe n'ụtụtụ Sọnde. Ebe a mberede a mere dị n'okpuru ọchịchi Amaọdofin. Onye ntaakụkọ BBC nọ n'ebe ahụ n'akọwa na-ana eme nyocha ka achọpụta ụdịrị mmanụ igwe ahụ bụ. Ndị ọrụ gbata gbata dị iche iche nọkwa ebe ahụ.,nei,igbo,4
afrifact_data_culture_yoruba_292,yoruba,nei,refutes,nei,refutes,nei,nei,nei,False,True,False,True,True,True,Jude Chukwuka: Wò ó bí oríkì àwọn ìlú Yorùbá ṣe yọ̀ lẹ́nu ọmọ Igbo jú ọmọ onílùú lọ.,"Agba amofin naa gba awọn gomina mejeeji yii ni gbolohun nitori abẹwo ti wọn se sọdọ aarẹ Buhari lọjọru lori eto aabo to mẹhẹ nipa ọsẹ tawọn ọdaran darandaran n se. Bẹẹ ba gbagbe, gomina Makinde ati Akeredolu lo tọ Buhari lọ nilu Abuja lati beere fun afikun eto aabo to peye, nitori ọwọja awọn ọdaran darandaran to gogo nipinlẹ koowa wọn. Àwọn iròyin tì ẹ leè ní ìfẹ̀ síí: Makinde, to bawọn akọroyin sọrọ lẹyin ipade wọn pẹlu aarẹ si ni oun lo anfaani abẹwo naa lati beere fun agbekalẹ afikun ileesẹ ọlọpaa kogberegbe nipinlẹ toun. Ifọrọwerọ pẹlu Gani Adams lori ọrọ Sunday Igboho Amọ Falana, lasiko to n takurọsọ pẹlu awọn akọroyin ni, awọn gomina yiii ni ipese eto aabo to peye wa nikawọ wọn, pẹlu ileesẹ ọlọpaa, ko si yẹ ki wọn lọ sọdọ aarẹ. Agba amofin naa woye pe aarẹ lo n dari ileesẹ ologun nilẹ Naijiria, kii se ileesẹ ọlọpaa, ko ba si san ko jẹ pe ọdọ ajọ to n sakoso ileesẹ ọlọpaa nilẹ wa, ni wọn gbe ibeere wọn lọ.",nei,yoruba,4
afrifact_data_culture_yoruba_321,yoruba,supports,refutes,supports,refutes,nei,supports,supports,False,True,False,False,True,True,"Àwọn arákùnrin kan figbe ta nígbà tí wọ́n gbọ́ pé ọmọ Buhari fẹ́ ṣe ìgbeyawò, kódà ọ̀kan lára wọn ní òun máa ṣekú pa ara òun bí òun kò bá ní oore-ọ̀rẹ́ láti fẹ́ arábìnrin náà.","Amọ oniruuru awọn ọkunrin lo ti jade sita lati kede ifẹ ti wọn ni si Hanan, ni kete ti wọn gbọ pe o fẹ se igbeyawo,to si wu wọn lati fi se aya wọn. Koda, ọkan lara wọn ni Abba Ahmed, ẹni to kede pe oun setan lati pa ara oun ti ọmọ aarẹ ba fi se igbeyawo lẹyin oun. Ọpẹlọpẹ ileesẹ ọlọpaa to parọwa si ọkunrin naa, ti ko fi se bo se wi. Nibayii, Abdullahi Bashir, ẹni ọdun mejilelogun to tun ti yọju sita lori itakun agbaye, to si ni aise alabapade ọmọ aarẹ nilu Abuja lati fẹ, da irẹwẹsi si oun lara. Amọ Bashir, tii se ẹlomiran to tun sẹsẹ kede ifẹ rẹ si Hanan loju opo itakun agbaye, ni to ba jẹ pe ọmọ aarẹ fẹ oun ni, maalu aadọjọ ni oun ko ba fi san owo ori rẹ. Sugbọn ọkunrin naa, ni kete to gbọ pe oloruka ti gba oruka, ti Hanan si ti lọ sile ọkọ rẹ, lo ba gba fun Ọlọrun. Bashir, tii se darandaran nipinlẹ Adamawa lo kede pe oun ti yofẹ pẹlu ọmọ aarẹ ati awọn aworan fọto to n ya. O ni to ba see se ni, obinrin naa lo wu oun lati fi se aya. Iléeṣẹ́ Ọlọ́pàá dènà ọkùnrin tó fẹ́ pa ara rẹ̀ nítorí ọmọbìnrin Buhari Saaju la ti kọkọ mu iroyin wa fun yin pe ileeṣẹ ọlọpaa ni ipinlẹ Kano ni oun ti pẹtu sinu arakunrin kan, Abba Ahmed, to ni oun yoo pa ara oun ti ọmọ aarẹ Buhari, Hanan ko ba fẹ oun. Ahmed ti fi lede bayii pe oun ti jawọ ninu ero bẹẹ, nitori o ti han gbangba pe iru ero bẹẹ ko dara rara, ati wi pe ko fihan pe oun fẹran Hanan.",supports,yoruba,3
afrifact_data_culture_yoruba_121,yoruba,nei,supports,nei,refutes,nei,nei,nei,False,True,False,True,True,True,Dangote ni ẹni tí ó kọ́kọ́ ní ilé-iṣẹ́ Ìfọpo ní orílẹ̀-èdè Nàìjííríà.,Ẹ̀wà Àgànyìn jẹ́ oúnjẹ àdúgbò tí ó wọ́pọ̀ ní ọ̀pọ̀lọpọ̀ ìpínlẹ̀ ní orílẹ̀-èdè pàá pàá jùlọ Wọ́n ma ń sábà se ẹ̀wà yí kí ó rọ̀ tàbí kí ó fọ́ dára dára .,nei,yoruba,4
