id,language_original,claim_original,gold_evidence_original,gold_label_original,raw_response_original,predicted_label_original,correct_original,language_translated,claim_translated,gold_evidence_translated,gold_label_translated,raw_response_translated,predicted_label_translated,correct_translated,gold_label,language,original_prediction,translated_prediction,original_correct,translated_correct,transition,original_claim_length,original_evidence_length,total_original_text_length
afrifact_data_culture_yoruba_186,yoruba,Àwọn ọmọ ẹgbẹ́ PDP fẹ̀hónúhàn nílé ẹjọ́ gíga jùlọ lórí owó ìṣúná ẹ̀ka ìdájọ́.,"Àwọn ọmọ ẹgbẹ́ PDP fẹ̀hónúhàn nílé ẹjọ́ gíga jùlọ Iru ofin wo ni wọn fi n ṣe eto owo iṣuna ẹka idajọ tẹlẹ? Ṣaaju ki Aarẹ Buhari to o pa aṣẹ naa, awọn gomina ipinlẹ lo ma n sọ iye owo ti wọn yoo fun awọn ẹka ijọba yooku, to fi mọ yiyọnda owo naa fun wọn. O ma n farahan ninu aba owo isuna ti wọn n gbe lọ siwaju awọn aṣofin ipinlẹ.",supports,supports,supports,True,yoruba,PDP members protested at the Supreme Court on the budget of the judiciary.,"PDP members spoke at the supreme court What kind of law are they making the budget of the justice department before? Before President Buhari closed the order, the state governors used to say how much money they would give to other government departments, so that they know how much money will be given to them. It often appears in the budget proposals that are being presented to state legislators.",supports,nei,nei,False,supports,yoruba,supports,nei,True,False,correct_to_wrong,85,330,415
afrifact_data_culture_yoruba_731,yoruba,"Ernest wà ní ipò láti ọjọ́ mẹ́rindínlọ́gbọ̀n, oṣù kẹjọ, ọdún 1993 títí dé ọjọ́ kẹ́tadínlógún, oṣù kọkànlá ọdún 1993 tí ó fi fẹ̀yìn tì.","Ernest Adégúnlé Oládéìǹdé Shónèkàn, ( ọjọ́ kẹẹ̀sán, oṣù Ebi ọdún1936 ní , orílẹ̀-èdè ) jẹ́ agbejọ́rò ará ilẹ̀ Nàìjíríà. Shónékà jẹ́ fún ìgbà díẹ̀ láti ọjọ mẹ́rìndínlọ́gbọ̀n, oṣù kẹ́jọ, ọdún 1993 títí dé ọjọ́ kẹtàdínlógún, oṣù kọkànlá, ọdún 1993 tí ọ̀gágun fipa gbà joba lọ́wọ́ rẹ̀.",supports,supports,supports,True,yoruba,"Ernest was in office from the twenty-sixth day of August, 1993 until the seventeenth day of November, 1993 when he retired.","Ernest Adégúnlé Oladéindé Shonekán, (9th day, month of Ebi year 1936 in , country ) is a Nigerian lawyer. Shoneka was for a short time from the twenty-sixth day of the eighth month of 1993 until the seventeenth day of the eleventh month of 1993 when the general took over from him.",supports,nei,nei,False,supports,yoruba,supports,nei,True,False,correct_to_wrong,134,281,415
afrifact_data_culture_yoruba_528,yoruba,Wizkid jẹ́ ọ̀kan lára àwọn olórin tàkásúfẹ̀ẹ́  Afro Beat tó wà ní orílẹ̀-èdè Nàìjíríà.,Orin Takasufe Afro kíkọ lọ́nà àrà Ọpọlọpọ ọmọ Naijiria lo ti gbe ògo orin Takasufe ti wọn n pe ni Afro Beats ga nile ati lẹyin odi. Wizkid jẹ ọkan lara awọn ọdọmọde olowo to bẹrẹ orin kikọ lọmọ ọdun 11 nile ijọsin Eyi tun pegede si ti orin oloogbe Fela Anikulapo Kuti to n kọ Afro Beat nigba aye rẹ ninu eyi to ti ṣadapọ orin alariwo ati takasufe papọ.,supports,supports,supports,True,yoruba,Wizkid is one of the best Afro Beat musicians in Nigeria.,Takasufe's Afro music sung in a traditional way Many Nigerians have raised the glory of Takasufe's music which they call Afro Beats at home and abroad. Wizkid is one of the rich youths who started writing music at the age of 11 in church. This is also similar to the music of the late Fela Anikulapo Kuti who was writing Afro Beat during his life in which he has mixed loud music and takasufe together.,supports,nei,nei,False,supports,yoruba,supports,nei,True,False,correct_to_wrong,103,352,455
afrifact_data_culture_yoruba_096,yoruba,"Ìrẹsì aládùn kan tí à ń fi tòmátì, àlùbọ́sà àti àwọn amóúnjẹ-ta-sánsán sè ni jọ̀lọ́ọ̀fù jẹ́.","Oúnjẹ yìí jẹ́ àdàpọ̀ ìrẹsì, tòmátì, àlùbọ́sà, àwọn èròjà amóúnjẹ-ta-sánsán, ẹ̀fọ́ àti ẹran papọ́ sínú ìkòkò kàn, pẹ̀lú èròjà, àti pé orísirísi ònà ní àwọn èèyàn ń gbà ṣe oúnjẹ yìí níbikíbi. Ìtàn àti ìpìlẹ̀ṣẹ̀ [ | ] Wọ́n tọ orírun ìrẹsì àsèpọ̀ jọ̀lọ́ọ̀fù lọsí agbègbè Sẹ̀nẹ̀gáḿbíà lábẹ ìjọba Jọ̀lọ́ọ̀fù tàbí Wọ́lọ́ọ̀fù ní ọ̀rúndún kẹrìnlá, èyí tí Sẹ̀nẹ̀gà, Gáḿbíà àti Mọriténíà máa ń dáko ìrẹsì.",supports,supports,supports,True,yoruba,"Jalofuf is a delicious rice cooked with tomatoes, onions and herbs.","This dish is a mixture of rice, tomato, onion, vegetables, herbs and meat together in a pot, with ingredients, and people cook this dish in different ways everywhere. History and background [ | ] They brought a type of mixed rice similar to the Senegalese in the region of Senegal under the kingdom of Joloofu or Wolofu in the 14th century, which Senegal, Gambia and Mauritania used to exchange rice.",supports,nei,nei,False,supports,yoruba,supports,nei,True,False,correct_to_wrong,113,394,507
afrifact_data_culture_yoruba_624,yoruba,Ìpínlẹ̀ Òndó tí a tún mọ̀ sí Sunshine State jẹ́ ọ̀kàndínlógún ìpínlẹ̀ tí àwọn èèyàn pọ̀ jùlọ lórílẹ̀-èdè.,"Ondo state Tí orúkọ ìnagijẹ rẹ̀ njẹ́ ""Sunshine State"", Ondo jé ọ̀kàndìnlógún Ìpínlẹ̀ tí ó pọ̀ jùlọ ní orílẹ̀ èdè , tí ó sì jẹ́ ìpínlẹ̀ karùndínlọ́gbọ̀n tó fẹ̀ jùlọ gẹ́gẹ́ bí ìwọ̀n ilẹ̀ gbígbà.",supports,supports,supports,True,yoruba,"Ondo State, also known as the Sunshine State, is the 19th most populous state in the country.","Ondo state Nicknamed ""Sunshine State"", Ondo is the 11th largest state in the country and the 25th largest state in terms of land area.",supports,nei,nei,False,supports,yoruba,supports,nei,True,False,correct_to_wrong,105,192,297
afrifact_data_culture_yoruba_719,yoruba,"Nígbà ìbárà yìí,  àwọn láàárín Ìjẹ̀bú máa gbé oúnjẹ wá láti gba iyọ̀. ","Bàbá Kutere jẹ́ ní Ìpínlẹ̀ Èkó nígbà àwọn ọdún 1700s. Nígbà tí Kutere wà lórí oyè, ìbárà láàrin Èkó àti and Ijebu wọ́pọ̀ si, àwọn Ìjẹ̀bú gbé oúnjẹ wá láti gba iyọ̀, tobacco, spirits, àti àwọn ìkan míràn tí àwọn",supports,supports,supports,True,yoruba,"During this time, the people of Ijebu will bring food to get salt.","Kutere's father was in Lagos State during the 1700s. When Kutere was in power, the friendship between Lagos and Ijebu increased, the Ijebu people brought food to get salt, tobacco, spirits, and other things that they",supports,nei,nei,False,supports,yoruba,supports,nei,True,False,correct_to_wrong,70,210,280
afrifact_data_culture_yoruba_168,yoruba,"Agbábọ́ọ̀lù ọwọ́ ẹ̀yìn ni Táyé Taiwò, ó sì gbá bọ́ọ̀lù fún ikọ̀ orílẹ̀-èdè Nigeria."," International. Wọ́n ra Taiwo wá si ìpele Nigeria Premier League, sínú ẹgbẹ́ agbábọ́ọ̀lù Lobi Stars. Níbi tí ó tún ti lo ọdún kan . Olympique de Marseille [ | ] Ní ọdún 2005, nígbà tí ó pé ọmọ ogún ọdún, ẹgbẹ́ agbábọ́ọ̀lù ilẹ̀ Faranse kan ti o n je Olympique de Marseille gba Taiwo sinu iko won. Won ra Taiwo lati le ropo ogbeni Bixente Lizarazu ti o ti lo sinu egbe agbaboolu Bayern Munich. Taiwo lo gba boolu ti iko re Olympic Marseille fi jawe olubori",supports,supports,supports,True,yoruba,"Táyé Taiwò is a back-handed footballer, and he plays for the Nigerian national team.","International. They bought Taiwo to the Nigerian Premier League, into the Lobi Stars football team. Where he also spent a year. Olympique de Marseille [| ] In 2005, when he was 20 years old, a French football club called Olympique de Marseille took Taiwo into their possession. They bought Taiwo in order to replace Mr. Bixente Lizarazu who has gone to the Bayern Munich soccer team. Taiwo took the ball and Olympic Marseille became the winner",supports,nei,nei,False,supports,yoruba,supports,nei,True,False,correct_to_wrong,97,454,551
afrifact_data_culture_yoruba_756,yoruba,"Ní àwọn orílẹ̀-èdè kọ̀ọ̀kan tí wọ́n máa ń din ọ̀gẹ̀dẹ̀, wọ́n máa ń ya àwọn ọ̀gẹ̀dẹ̀ yìí sọ́tọ̀ sí èyí tó wà fún jíjẹ.","Ní àwọn orílẹ̀-èdè mìíràn, wọ́n máa ń dín ọ̀gẹ̀dẹ̀, wọ́n sì máa ń yà wọ́n sọ́tọ̀ sí èyí tó wà fún jíjẹ. Èso náà máa ń wà ní oríṣiríṣi ìwọ̀n, àwọ̀ àti ìrísí, àmọ́, ó máa ń gùn tó sì máa ń rí ṣọnṣọ, pẹ̀lú ara tó rọ̀.",supports,supports,supports,True,yoruba,"In each country where bananas are fried, these bananas are separated from those that are for eating.","In other countries, bananas are cut and separated into edible ones. The fruit comes in different sizes, colors and shapes, but it is long and beautiful, with a soft body.",supports,nei,nei,False,supports,yoruba,supports,nei,True,False,correct_to_wrong,117,214,331
afrifact_data_culture_yoruba_180,yoruba,"Nínú ìgbàgbọ́ àwọn Yorùbá, wọ́n nígbàgbọ́ pé Olókun ni ìyá Ajé","Àwọn Yorùbá gbà gbọ́ pé Olókun ní ó bí Aje, èyí tí ó jẹ́ Òrìsà fún Ọrọ̀, Ọlá, tí ó wà ní ìsàlẹ̀ òkun. Olókun jẹ́ òrìsà tí ó ń darí àwọn ohun tí ó wà lábé Omi òkun, Ó sí jẹ́ òrìsà tí ó lágbára jù gbogbo ohùn tí ó wà lábé Omi òkun tàbí àwọn òrìṣà kékéèèké tí ó wà lábé Omi òkun. Olókun jẹ́ Òrìsà nlá tí wọn máa ń gbórínyìn fún nípa bí ó ti lágbára láti fún àwọn olúsín rẹ ní Owó, Ọlá, Ọrọ̀, àti àṣeyọrí nígbà tí wọn bá kìí tán. ",supports,supports,supports,True,yoruba,"In the faith of the Yoruba people, they believe that Olokun is the mother of Ajé","The Yorubas believe that Olokun gave birth to Aje, which is the God of Wealth, Ola, who is at the bottom of the sea. Olokun is the god who controls the things under the sea, and he is the god who is stronger than all the voices under the sea or the small gods who are under the sea. Olokun is a great God who is praised for his ability to give his worshipers Money, Honor, Wealth, and success when they are not finished.",supports,refutes,refutes,False,supports,yoruba,supports,refutes,True,False,correct_to_wrong,76,426,502
afrifact_data_culture_yoruba_358,yoruba,"Àjọ ìṣọ̀kan àgbáyé sì ti kéde pé tí gbogbo àwùjọ àgbáyé bá ń fún ọmọ lọ́yàn, èyí lè doola ẹ̀mí tó tó ẹgbẹ̀rún lọ́nà ẹgbẹ̀rin.","Ẹ mase feti si awọn apọnpo nipa ifọmọ lọyan, gbogbo igba naa kọ lo rọrun lati fun ọmọ lọyan Ajọ isọkan agbaye si ti kede pe ti gbogbo awujọ agbaye ba n fun ọmọ lọyan, eyi lee doola ẹmi to to ẹgbẹrun lọna ẹgbẹrin. Ọpọ iyalọmọ lo maa n gbaradi lasiko ti wọn loyun lati fun ọmọ wọn lọyan, sugbọn o se ni laanu pe ọpọ wọn ni ko ni oye to nipa bo se yẹ ki wọn fun ọmọ ni ọyan, ko si mu amuyo. Àwọn iròyin tì ẹ leè ní ìfẹ̀ síí: Fifun ọmọ lọyan: Ireti ati otitọ ohun to n sẹlẹ Ọpọ ọmọ ni ebi maa n pa, ti yoo si maa sunkun lasiko to ba n mu ọyan, iya rẹ yoo ro pe ko fẹ gba ọyan ni laimọ pe ọyan naa ko se omi sẹnu ọmọ ọhun. Igba tiru iyalọmọ bẹẹ ba si de ile iwosan, nitori ori ọyan rẹ to ti bẹ, ti wọn ba tẹ ọyan rẹ fun omi, ni ẹjẹ yoo maa jade dipo omi ọyan.",supports,supports,supports,True,yoruba,"The United Nations has announced that if the entire world community donates a child, this can save thousands of lives in eight hundred ways.","Don't listen to the myths about breastfeeding, it's not always easy to breastfeed and the World Organization has announced that if the entire world community breastfeeds, this could save thousands of lives. Many pregnant women are preparing to breastfeed their children, but unfortunately, many of them do not have enough knowledge about how to breastfeed their children, and do not take it seriously. Stories that make you love more: Breastfeeding: Hope and the truth of what is happening Many children are hungry, and will cry when breastfeeding, your mother will think that she does not want to breastfeed, not knowing that the breast does not put water in the baby's mouth. When such a miscarriage comes to the hospital, because your breasts are so large, if they press your breasts for water, blood will come out instead of breast milk.",supports,refutes,refutes,False,supports,yoruba,supports,refutes,True,False,correct_to_wrong,151,754,905
