id,language,gold_label,qwen_1_5b_claim_only_prediction,qwen_1_5b_gold_prediction,qwen_1_5b_bm25_prediction,qwen_1_5b_adversarial_prediction,qwen_14b_gold_prediction,qwen_14b_translated_prediction,qwen_1_5b_claim_only_correct,qwen_1_5b_gold_correct,qwen_1_5b_bm25_correct,qwen_1_5b_adversarial_correct,qwen_14b_gold_correct,qwen_14b_translated_correct,source_claim,source_gold_evidence,source_gold_label,source_language,num_systems_correct
afrifact_data_culture_hausa_657,hausa,nei,refutes,refutes,supports,nei,nei,nei,False,False,False,True,True,True,Shugaba Muhammadu Buhari ya kaddamar da eNaira a ranar 20 ga watan Yunin 2016.,"An samo sunan “Naira” daga kalmar “Nigeria” ta Obafemi Awolowo.Sai dai kuma, Naira a matsayin kudin da Shehu Shagari ya kaddamar a matsayin ministan kudi a shekarar 1973. Babban bankin Najeriya ya yi ikirarin cewa sun yi yunkurin shawo kan hauhawar farashin kayayyaki a duk shekara kasa da kashi 10%.",nei,hausa,3
afrifact_data_culture_igbo_058,igbo,nei,supports,nei,supports,nei,nei,nei,False,True,False,True,True,True,Ngagharị iwe a bụ ụzọ e si edozi esemokwu.,Ọ bụ nnukwu nnupụisi mbụ ụmụ nwanyị mere na West Africa.,nei,igbo,4
afrifact_data_culture_igbo_749,igbo,refutes,supports,supports,supports,supports,refutes,refutes,False,False,False,False,True,True,Ihe isi ike anaghị emetụta ihe ndị e ji alụ ụm̀ụ nwaanyị Igbo. Ụmụ ntorobịa Igbo kwuru na ha zuru ka emee.,"Ndị ntorobia Igbo: Belatanụ Ihe eji alụ nwaanyị Ndị ntorobia Igbo akpola oku ka obodo dị n'Igbo wedata ihe ndị ọ na-eri iji lụọ nwaanyị n'ala igbo. Ndị ntorobịa kwuru a nke na mkparịtaụka BBC hiwere na Facebook ụbọchị Fraide rụtụ®ụaka na ihe isi ike, ihe ilụnwaanyị na-erị nakwa oke mgbuchi nne nna na Igbo na-egbuchi ụmụ ha ndị nwaanyị so 'ihe na akpata alụghhị di maọbụ nwaanyị n'oge.",refutes,igbo,2
afrifact_data_culture_igbo_141,igbo,nei,nei,nei,supports,supports,nei,nei,True,True,False,False,True,True,Akwa mmiri ahụ adaala.,"Dịka ọ dị ugbua, amabeghi ihe ha kpatara na nzukọ a.",nei,igbo,4
afrifact_data_culture_igbo_241,igbo,refutes,supports,supports,supports,nei,refutes,refutes,False,False,False,False,True,True,Ụfọdụ ụlọakwụkwọ dị na Beijing na Shanghai emepebeghị dịka ụmụakwụkwọ agaghị akwụkwọ taa,Ụfọdụ ụlọakwụkwọ dị na Beijing na Shanghai emepekwaala dịka ụmụakwụkwọ malitere ịga akwụkwọ taa.,refutes,igbo,2
afrifact_data_culture_igbo_424,igbo,nei,refutes,supports,supports,nei,nei,nei,False,False,False,True,True,True,O bụ ịkọ ọrụ ugbo so na ọrụ ndị mba Brazil dabere na ya isi na-abawanye ọnọdụ akụ na ụba ha ruo ugbu a.,"Mbaise bụ mpaghara dị na Imo Steeti na ndịda ọwụwa anyanwụ . N'etiti , mpaghara ahụ gụnyere ọtụtụ obodo na obodo ukwu. Ndị bi na ya bụ ndị agbụrụ, ndị jikọtara site na alụmdi na nwunye. Mbaise bụ mpaghara kacha nwee ọnụ ọgụgụ mmadụ n'Ebe Ọdịda Anyanwụ Afrịka; ọnụ ọgụgụ ndị bi na ya n'afọ 2006 bụ puku narị isii na iri nà otu, narị abụọ na anọ.",nei,igbo,3
afrifact_data_culture_igbo_383,igbo,refutes,supports,supports,supports,nei,nei,refutes,False,False,False,False,False,True,"N'ịgbado ụkwụ n'oke ala nakwa ngwaahịa, Ahịa Main Market Ọnicha akaghị ahịa Arịarịa nke Aba bu ibu",Ahịa Ọnicha nke a makwaara dị ka Onitsha Main Market na bekee bụ otu n'ime ahịa kacha ibu na ọdịda anyanwụ Afrịka dabere na nha ala na oke ngwongwo ahịa a n'ere ebe ahụ.,refutes,igbo,1
afrifact_data_culture_igbo_173,igbo,refutes,supports,supports,supports,supports,refutes,nei,False,False,False,False,True,False,Otu onye bi n'Anambra kwuru na ọ ruola afọ iri mmiri gbadebere na mpaghara ya.,Otu onye bi Enugwu sị na o ruola afọ iri mmiri gbadebere na mpaghara ya bi n'Enugwu.,refutes,igbo,1
afrifact_data_culture_igbo_301,igbo,refutes,refutes,refutes,supports,supports,nei,refutes,True,True,False,False,False,True,Naanị ikuku na ọhịa bụ ihe dị ka ọrụ ugbo mkpa iji wee ịga nke ọma,"Ọrụ ugbo chọrọ mmiri, aja di mma na ala di larịị.",refutes,igbo,3
afrifact_data_culture_hausa_250,hausa,refutes,refutes,supports,supports,nei,supports,nei,True,False,False,False,False,False,Masanin tarihin abinci da aikin gona James C. McCann ya ba da shawarar daina yaɗa shinkafa.,"Masanin tarihin abinci da aikin gona James C. McCann yayi la'akari da wannan ikirarin mai yiwuwa idan aka yi la’akari da shaharar shinkafa a cikin kwarin Niger ta sama, amma yana ganin ba zai yuwu tasa ta iya yaɗuwa daga Senegal zuwa inda take yanzu tunda ba a ganin irin wannan yaɗuwar a cikin “harshe, tsarin siyasa ko tarihi "". Maimakon haka ya ba da shawarar cewa tasa ta yaɗu tare da masarautar Mali, musamman masu sana'ar Djula waɗanda suka bazu ko'ina zuwa cibiyoyin kasuwanci da biranen yanki, tare da ɗaukar fasahar tattalin arziƙin ""ƙera, ƙaramin sikelin, da agronomy shinkafa"" gami da addini. na Musulunci.",refutes,hausa,1
afrifact_data_culture_yoruba_701,yoruba,refutes,refutes,supports,supports,nei,supports,nei,True,False,False,False,False,False,"Nígbà tí Buhari jẹ́ ààrẹ, ó lo sáà méjì àti àbọ̀ kí ó tó kúrò ní ipò.","Muhammadu Buhari (tí wọ́n bí ní Ọjọ́ ketàdínlógún, Oṣù Kejìlá Odún 1942 o si ku ni Oṣu Keje ọjọ 13, Ọdun 2025) olóṣèlú tí ó jẹ́ Ààrẹ orílè-èdè láàrin ọdún 2015 sí ọdún 2023. Ó lo ṣáà àkọ́kọ́ rẹ̀ láàrin odún 2015 sí 2019 àti kejì láàrin ọdún 2019 sí 2023 .",refutes,yoruba,1
afrifact_data_culture_igbo_029,igbo,refutes,nei,supports,supports,nei,refutes,refutes,False,False,False,False,True,True,Ozi a ha wepụtara adịghị n'akara twitter ha.,Nke a dị n'ozi ha wepụtara n'akara twitter ha.,refutes,igbo,2
afrifact_data_culture_yoruba_791,yoruba,refutes,refutes,supports,supports,supports,supports,supports,True,False,False,False,False,False,Ẹ̀sìn ìsìláàmù jẹ́ àṣà tí Ọlọ́run ń lò láti fi ránṣẹ́ sí ànọ́bì kí àlàáfíà àti ìrọ̀rùn lè wà láàárín gbogbo ọmọnìyàn.," jẹ́ ẹ̀sìn àlááfíà,ìrọ̀rùn àti ìjupá-jusẹ̀ sílẹ̀ fún Ọlọ́run aṣẹ̀dá gbogbo ayé nípa ṣ́iṣe ìfẹ́ àti títèlé àṣẹ rẹ̀ yálà o tẹ́ ọ lọ́rùn tàbí kò tẹ́ ọ lọ́rùn. Ó tún jẹ́ ẹ̀sin tí Ọlọ́run tún fi ránṣẹ́ sí gbogbo ayé látọwọ́ àwọn òjíṣ̣́e rẹ̀ tó ti rán wá ṣáájú ànọ́bì ọmọ Abdullah (kí ìkẹ́ àti ọlà Ọlọ́hun ó ma bá a). ",refutes,yoruba,1
afrifact_data_culture_yoruba_295,yoruba,nei,refutes,refutes,supports,nei,nei,nei,False,False,False,True,True,True,"Sunday Igboho ní pé àwọn Fulani kò leè dúró, táa bá lo ohun tí a jogún lọ́dọ̀ àwọ̀n bàbá ńlá wa.","Awọn ara adugbo naa ti wa rọ ijọba ipinlẹ Ọyọ lati tete da si ọrọ naa tori kii se igba akọkọ ree ti awọn ọmọ onilẹ yoo wa maa dun mahuru-mahuru mọ wọn lori ilẹ ti wọn ti ra lati ọdun gbọọrọ. Gẹgẹ bi iroyin naa ti wi, nigba ti BBC Yoruba kan si agbẹnusọ fun ileesẹ ọlọpa nipinlẹ Ọyọ, Olugbenga Fadeyi lati gbọ tẹnu rẹ, o ni ka pe oun pada laipẹ.",nei,yoruba,3
afrifact_data_culture_hausa_064,hausa,refutes,nei,supports,supports,nei,supports,nei,False,False,False,False,False,False,Sarauniya Amina ta samu sarautar Zazzau a shekarar 1533.,"Sarauniya Amina Sarauniyar Zazzau, ta rayu daga shekara ta alif 1533 zuwa shekara ta alif 1610, ɗaya ce daga cikin yara biyu da sarkin Bakwa ya haifa.",refutes,hausa,0
afrifact_data_culture_igbo_379,igbo,refutes,nei,nei,supports,nei,nei,refutes,False,False,False,False,False,True,Ndị na-achịkwa Ahịa Main Market Ọnicha ruo taata bụ ndị National Union of Road Transport Workers (NURTW).,Ndị na achịkwa ma na elekọta ahịa ahụ bụ otu a na akpọ na bekee Onitsha Market Traders Association (OMATA).,refutes,igbo,1
afrifact_data_culture_hausa_579,hausa,nei,nei,refutes,supports,supports,nei,nei,True,False,False,False,True,True,Duk farkon damuna manoma na yin amfani da lauje wurin cire ƙiraren ciyawa da suka bushe.,"Haka kuma suna wani karin magana ""akwai lauje cikin naɗi"" ma'ana in kaji bahaushe yace akwai lauje cikin naɗi, kenan akwai wani munafunci.",nei,hausa,3
