id,language_original,claim_original,gold_evidence_original,gold_label_original,raw_response_original,predicted_label_original,correct_original,language_translated,claim_translated,gold_evidence_translated,gold_label_translated,raw_response_translated,predicted_label_translated,correct_translated,gold_label,language,original_prediction,translated_prediction,original_correct,translated_correct,transition,original_claim_length,original_evidence_length,total_original_text_length
afrifact_data_culture_hausa_004,hausa,Muhammadu Buhari ya zama shugan kasa na mulkin soja yana matsayin kanal.,"Muhammadu Buhari (17 Disamba 1942 – 13 Yuli 2025) ne wanda ya yi mulkin ƙasar a matsayin daga 2015 zuwa 2023. Soja ne mai matsayi na majo janar a , kuma ya shugabanci ƙasar a matsayin daga 31 Disamba 1983 zuwa 27 Agusta 1985. Buhari ya tsaya takarar shugaban ƙasa a Najeriya a ƙarƙashin jam’iyyar a zaɓen shugaban ƙasa na 2003 da na 2007, sannan kuma a ƙarƙashin jam’iyyar Congress for Progressive Change (CPC) a zaɓen shugaban ƙasa na 2011",refutes,nei,nei,False,hausa,Muhammadu Buhari became the president of the military regime as a colonel.,"Muhammadu Buhari (17 December 1942 – 13 July 2025) is the one who ruled the country from 2015 to 2023. He is a soldier with the rank of major general, and he led the country from 31 December 1983 to 27 August 1985. Buhari ran for the presidency of Nigeria under the party in the 2003 and 2007 presidential elections, and then under the Congress for Progressive Change (CPC) party in the 2011 presidential election",refutes,refutes,refutes,True,refutes,hausa,nei,refutes,False,True,wrong_to_correct,72,440,512
afrifact_data_culture_igbo_383,igbo,"N'ịgbado ụkwụ n'oke ala nakwa ngwaahịa, Ahịa Main Market Ọnicha akaghị ahịa Arịarịa nke Aba bu ibu",Ahịa Ọnicha nke a makwaara dị ka Onitsha Main Market na bekee bụ otu n'ime ahịa kacha ibu na ọdịda anyanwụ Afrịka dabere na nha ala na oke ngwongwo ahịa a n'ere ebe ahụ.,refutes,nei,nei,False,igbo,"Based on the geographical area and the product, the Main Market is not a large market.",Onitsha Market also known as Onitsha Main Market in English is one of the largest markets in West Africa based on land size and the amount of goods sold there.,refutes,refutes,refutes,True,refutes,igbo,nei,refutes,False,True,wrong_to_correct,98,169,267
afrifact_data_culture_igbo_301,igbo,Naanị ikuku na ọhịa bụ ihe dị ka ọrụ ugbo mkpa iji wee ịga nke ọma,"Ọrụ ugbo chọrọ mmiri, aja di mma na ala di larịị.",refutes,nei,nei,False,igbo,Only the wind and the forest are what agriculture needs to be successful,"Farming requires water, good sand and flat land.",refutes,refutes,refutes,True,refutes,igbo,nei,refutes,False,True,wrong_to_correct,66,49,115
afrifact_data_culture_igbo_379,igbo,Ndị na-achịkwa Ahịa Main Market Ọnicha ruo taata bụ ndị National Union of Road Transport Workers (NURTW).,Ndị na achịkwa ma na elekọta ahịa ahụ bụ otu a na akpọ na bekee Onitsha Market Traders Association (OMATA).,refutes,nei,nei,False,igbo,The Main Market is currently controlled by the National Union of Road Transport Workers (NURTW).,The people who manage and manage the market are the Onitsha Market Traders Association (OMATA).,refutes,refutes,refutes,True,refutes,igbo,nei,refutes,False,True,wrong_to_correct,105,107,212
afrifact_data_culture_yoruba_017,yoruba,Aganjú jẹ́ iya Sango àti ìyá Àjàká tí wọ́n jọ jọba ní ìlú Ọ̀yọ́ ri.,"Aganjú tàbí Aganyú ni òdò awon elédèè Spanish ni wón ń pè ní . Wón gbà pé ó ń ṣíṣe pọ̀ pẹ̀lú nínú Ẹsin ti àwọn Cuban, èyí tí wọ́n ń pè ní Santería. Wọ́n gbàgbọ́ pé Aganjú ni àjọṣe pẹ̀lú Òrìsà ṣàǹgó. Gẹ́gẹ́ bí Ọba ní Ọ̀yọ́ rí, Aganju jẹ́ ọmọ Ẹ̀gbọ́n Ṣàǹgó tí orúkọ rẹ̀ ń jẹ́ Àjàká. Èyí tí ó jẹ́ pé àwọn méjèèjì tí fi ìgbà kan jẹ́ Ọba ìlú Ọ̀yọ́ rí tí wọ́n ti ìpàṣẹ rẹ̀ di Òrìṣà tí wọ́n ń bọ.",refutes,nei,nei,False,yoruba,Aganju is the mother of Sango and the mother of Ajaka who ruled together in the city of Oyo.,"Aganju or Aganyú is the river of the Spanish natives. They believe that he is working together in the Religion of the Cuban people, which they call Santería. They believe that Aganju is related to the Goddess Aganju. As the King in Oyo, Aganju is the son of Shango's uncle whose name is Ajaka. Which is that the two who were once the King of the city of Oyo have become the future Gods at his command.",refutes,refutes,refutes,True,refutes,yoruba,nei,refutes,False,True,wrong_to_correct,78,389,467
afrifact_data_culture_igbo_611,igbo,Ndị ụmụnna abaghị uru ọbụla n'obodo maọbụ n'ezinụlọ ha.," Ụmụnna - Ndị a bụ ụmụnwoke ụmụọkpala si n'ezinaụlọ dị icheiche n'obodo. Ha bụ ndị na-eme mkpebi gbasara okwu dị icheiche n'obodo etu o si gbasara agamnihu na ọdịmma obodo. Ndị ụmụnna ka a na-ekpesara ma onye ọbụla mee ihe ọjọọ, ha bụ ndị na-aga n'ọnụ arụsị ịchọpụta ihe arụsị na-ekwu gbasara obodo maọbụ gbasara ezinaụlọ ha.",refutes,supports,supports,False,igbo,The brothers are of no use to the community or to their families.,"Brothers - These are the noble men from different families in the village. They are the people who make decisions about various issues in the country as it pertains to the development and welfare of the country. The brothers are preached to if anyone does something wrong, they are the ones who go to the idols to find out what the idols say about the country or about their family.",refutes,refutes,refutes,True,refutes,igbo,supports,refutes,False,True,wrong_to_correct,55,325,380
afrifact_data_culture_igbo_485,igbo,Lawrence Ifeanyi Ugwuanyi bụ Osote Gọvanọ nke Enugu Steeti malite n'ọnwa Eprel nke afo 2015.,"Lawrence Ifeanyi Ugwuanyi // (na-ege ntị) CON (nke a maara nke ọma dị ka "" Gburugburu "") (amụrụ na 20 Machị n'afo 1964) bụ onye ndọrọ ndọrọ ọchịchị Naijiria nke a họpụtara dị ka Gọvanọ nke Enugu Steeti n'ọnwa Eprel n'afo 2015, a ṅụrụ iyi na 29 Mee n'afo 2015.",refutes,supports,supports,False,igbo,Lawrence Ifeanyi Ugwuanyi has been the Deputy Governor of Enugu State since April 2015.,"Lawrence Ifeanyi Ugwuanyi // (listening) CON (popularly known as "" Gburugburu "") (born on 20 March 1964) is a Nigerian politician who was elected as the Governor of Enugu State in April 2015 and was sworn in on 29 May 2015.",refutes,refutes,refutes,True,refutes,igbo,supports,refutes,False,True,wrong_to_correct,92,259,351
afrifact_data_culture_igbo_169,igbo,Uche Nwonwu kwuru na ọ bụ mmiri dị n'azụ be ha ka ha na-aṅụ.,"Ọ sị na ""ọ bụ mmiri ndị mmadụ gbapere na be ha ka ha na-aṅụkarị.""",refutes,nei,nei,False,igbo,Uche Nwonwu said that it was the water behind their beds that they were drinking.,"He said that ""it is the water that people splashed on their beds that they usually drink.""",refutes,refutes,refutes,True,refutes,igbo,nei,refutes,False,True,wrong_to_correct,60,65,125
afrifact_data_culture_hausa_046,hausa,Umaru Musa 'Yar'adua bai taɓa zama mamba na wata kwalleji a jihar Katsina ba.,"Ya taɓa zama mamba a kamfanin samar da kayan noma na jihar Katsina tsakanin shekarar 1984 zuwa 1985, kuma memba a majalisar gudanarwa ta kwalejin fasaha ta Katsina da Katsina Polytechnic tsakanin 1978 zuwa 1983, shugaban hukumar zuba jari da raya kadarori ta jihar Katsina tsakanin shekara ta 1994 zuwa shekarar 1996.",refutes,nei,nei,False,hausa,Umaru Musa 'Yar'adua has never been a member of any college in Katsina state.,"He was a member of the Katsina State Agricultural Production Company between 1984 and 1985, and a member of the board of directors of Katsina College of Technology and Katsina Polytechnic between 1978 and 1983, the chairman of the Katsina State Investment and Property Development Board between 1994 and 1996.",refutes,refutes,refutes,True,refutes,hausa,nei,refutes,False,True,wrong_to_correct,77,317,394
afrifact_data_culture_yoruba_488,yoruba,Ìpínlẹ̀ Èkó ni ọkọ̀ Gómìnà náà ń lọ kí àwọn Boko Haram tó da ìbọ̀n lù wọ́n,"Boko Haram da ìbọn bo ọkọ̀ gómìnà Borno, ẹ̀ṣọ́ àláàbò rẹ̀ farapa Ijọba ipinlẹ Borno ti fi idi rẹ mulẹ pe, lootọ l'awọn agbebọn Boko Haram kọlu awọn ọkọ to n kọwọrin pẹlu gomina ipinlẹ naa, Babagana Zullum ni Ọjọru. Agbẹnusọ fun gomina naa, Mallam Isa Gusau ṣalaye pe, ori ko gomina Zullum yọ lai farapa ṣugbọn diẹ lara awọn to baa rin, to fi kan awọn ẹṣọ alaabo, fara ṣeṣe. Isa fi kun un pe, ilu Baga ni gomina naa n lọ nigba ti ikọlu naa waye. Bawo lo ṣe ṣẹlẹ? Ni Ọjọru ni iṣẹlẹ yii waye ni nnkan bii agogo mẹrin irọlẹ lasiko ti gomina naa fẹ wọ ilu Baga l'awọn agbọn naa ba ṣina ibọn bolẹ. Awọn ẹṣọ alaabo to wa pẹlu rẹ naa daa ina ibọn bolẹ.",refutes,nei,nei,False,yoruba,The Governor's vehicle was going to Lagos State before Boko Haram shot at them,"Boko Haram opened fire on the Borno governor's vehicle, his security guard was injured The Borno state government has confirmed that, indeed, Boko Haram gunmen attacked the vehicles carrying the governor of the state, Babagana Zullum on Wednesday. The spokesperson for the governor, Mallam Isa Gusau explained that, the governor of Zullum did not escape without injury but some of those who walked, touching the disabled guards, took care. Isa added that the governor was going to Baga when the attack took place. How did it happen? On Wednesday, this incident happened at about 4 o'clock in the evening when the governor was about to enter Baga town and the gangsters opened fire. The disabled guards who were with him also returned fire.",refutes,refutes,refutes,True,refutes,yoruba,nei,refutes,False,True,wrong_to_correct,89,644,733
