id,language,gold_label,claim,gold_evidence,primary_error_type,secondary_error_type,contradiction_explicitness,requires_world_knowledge,translation_issue_present,annotation_suspected,review_notes
afrifact_data_culture_hausa_058,hausa,refutes,Usman Dan Fodiyo ɗan asalin kabilar Hausawa ne.,Shehu Usman Ɗan Fodiyo yayi yaki a tsakanin shekarar alif dubu ɗaya da ɗari takwas da huɗu (1804) har zuwa alif dubu ɗaya da ɗari takwas da sha biyu (1812) ya fito ne daga ƙabilar Toronkawa na fulani. ya kasance daga zuriyar ɗaya daga cikin dangin (Toronkawa) na ƙabilar dake zaune a cikin tun daga farkon shekara ta alif dubu ɗaya da ɗari hudu (1400),entity_attribute_mismatch,implicit_contradiction,explicit,no,uncertain,no,Claim identifies Dan Fodiyo as Hausa; evidence identifies Toronkawa Fulani origin.
afrifact_data_culture_hausa_064,hausa,refutes,Sarauniya Amina ta samu sarautar Zazzau a shekarar 1533.,"Sarauniya Amina Sarauniyar Zazzau, ta rayu daga shekara ta alif 1533 zuwa shekara ta alif 1610, ɗaya ce daga cikin yara biyu da sarkin Bakwa ya haifa.",temporal_mismatch,role_relation_mismatch,implicit,no,uncertain,uncertain,Claim treats 1533 as accession year; evidence presents 1533 as birth/start-of-lifespan year.
afrifact_data_culture_hausa_199,hausa,refutes,Zuwan turawan mulkin mallaka ya taimaka wurin musuluntar sarakunan gargajiya na Kano.,"Bayan zuwan Musulunci a ƙarni na 14 zuwa 15, muhimmancin Dutsen Dala wajen bauta ya ragu, domin sarakunan Kano suka rungumi Musulunci.",causal_mismatch,temporal_mismatch,implicit,no,uncertain,no,Claim attributes Islamisation to colonial arrival; evidence attributes it to Islam arriving in the 14th-15th centuries.
afrifact_data_culture_hausa_392,hausa,refutes,Mabiya JIBWIS suna gudanar da taruka na koyan girki da zaman lafiya a cikin al’umma.,"Jama'atu Izalatul Bidi'a Wa'Ikamatus Sunnah ( JIBWIS ). ƙungiyar addinin ce, mabiya tsira da amincin Allah su kara tabbata a gareshi. Sannan kuma an kafa wannan ƙungiyar ne a babban Birnin Jihar dake wanda babban malamin Musulunci kuma Babban Hafsan Sojan ya kafa, wato Sheikh Jos wanda kuma har yanzu Cibiyar Gudanarwa na ƙungiyar yana garin Jos a ƙarƙashin jagorancin Khalifa na farko na wannan ƙungiya wato Sheikh wanda kuma har yanzu Cibiyar Gudanarwa na kungiyar yana garin Jos a karkashin jagorancin Khalifa na farko na wannan ƙungiya wato Sheikh Ƙungiya ce da aka kafa ta da manufar yaƙi da bidi'o'i, wato ƙirqire-ƙirqire a cikin addini da kuma tabbatar da biyayya ga (Aminci Allah ya kara tabbata a gare shi) tare da abubuwan da ya zo da su daga Allah Maɗaukakin Sarki, ba tare da daɗi ko ragi ba.",evidence_insufficient,possible_annotation_issue,ambiguous,no,uncertain,yes,Evidence describes JIBWIS as a religious organisation combating innovations in religion but does not directly disprove cooking or peace meetings.
afrifact_data_culture_hausa_463,hausa,refutes,Ma su arziƙi za su iya karɓar zakka don su ƙara jari.,(Faqirai) A kan Tafarkin Allah (Fi sabilillihi) Bayi Waɗanda ake jansu zuwa musulunci Miskinai Matafiyi wanda bada saɓon Allah ba Waɗanda ake bi bashi Masu aiki a kan dukiyan zakka,implicit_contradiction,entity_attribute_mismatch,implicit,uncertain,uncertain,uncertain,Evidence lists eligible zakat recipient categories and omits wealthy people seeking investment capital; refutation depends on interpreting the list as exhaustive.
afrifact_data_culture_hausa_472,hausa,refutes,Mai azumi na iya saduwa da iyalinsa kafin rana ta faɗi.,Azumi shi ne kamewa daga barin cin abinci ko sha ko jima'i (saduwan tsakanin namiji da mace) ko shan taba ko allura ta abinci daga ketowar alfijir nabiyu har zuwa faduwan rana.,boundary_condition,temporal_mismatch,explicit,no,no,no,"Evidence defines fasting as abstention from intercourse from dawn until sunset, directly opposing permission before sunset."
afrifact_data_culture_hausa_523,hausa,refutes,Gwamnatin Najeriya ce ta bada umarnin kashe Sheikh Ja'afar Mahmud Adam.,"Duk da yake wasu sun ce , wata kungiya mai tsattsauran ra'ayi, ta kashe Sheikh din, wasu sun ce Mista Shekarau, gwamnan Kano a lokacin, na iya kasancewa da alhakin saboda malamin yana daya daga cikin manyan masu sukar sa.",evidence_insufficient,possible_annotation_issue,ambiguous,no,uncertain,yes,Evidence reports competing allegations about perpetrators and possible responsibility; it does not establish that the Nigerian government did not order the killing.
afrifact_data_culture_hausa_799,hausa,refutes,Sofia Sadek malama ce a makarantar firamare a ƙasar Tunisia.,"Sofia Sadek mawakiya ce 'yar kasar Tunisia, wadda shahararriya ce musamman a yankin Arewacin Afirka. AFP ta gano cewa bidiyon ya samo asali ne daga shafin Youtube, inda wani gidan rediyo mai suna Radio Med ya wallafa ranar 24 ga Satumbar 2016. Bidiyon yana dauke da taken ""Sofia Sadek tana karanta Kur'ani yayin wata hira"".",entity_attribute_mismatch,role_relation_mismatch,explicit,no,no,no,Claim identifies Sofia Sadek as a primary-school teacher; evidence identifies her as a Tunisian singer.
afrifact_data_culture_igbo_151,igbo,refutes,Ndị Ideato South abụghịkwa ndị ahịa.,Ha bụkwa ndị ahịa.,negation,,explicit,no,no,no,Claim says Ideato South people are not traders; evidence explicitly says they are traders.
afrifact_data_culture_igbo_323,igbo,refutes,Ejike Obumneme Aghanya bụ onye nkụzi kpọ ụmụakwụkwọ ya wee gba ọsọ n'oge Agha Biafra.,"Ejike Obumneme Aghanya Ejike Ebenezer Obumneme Aghanya (27 Nọvemba 1932 - 3 Julaị 2020) bụ onye agha na onye injinia eletrik nke jere ozi na na ndị agha Biafran, na-ala ezumike nká dị ka onye colonel.",role_relation_mismatch,entity_attribute_mismatch,implicit,no,uncertain,uncertain,Claim describes Aghanya as a teacher who fled with students; evidence identifies him as a soldier and electrical engineer serving in the Biafran army.
