id,language_original,claim_original,gold_evidence_original,gold_label_original,raw_response_original,predicted_label_original,correct_original,language_translated,claim_translated,gold_evidence_translated,gold_label_translated,raw_response_translated,predicted_label_translated,correct_translated,gold_label,language,original_prediction,translated_prediction,original_correct,translated_correct,transition
afrifact_data_culture_hausa_058,hausa,Usman Dan Fodiyo ɗan asalin kabilar Hausawa ne.,Shehu Usman Ɗan Fodiyo yayi yaki a tsakanin shekarar alif dubu ɗaya da ɗari takwas da huɗu (1804) har zuwa alif dubu ɗaya da ɗari takwas da sha biyu (1812) ya fito ne daga ƙabilar Toronkawa na fulani. ya kasance daga zuriyar ɗaya daga cikin dangin (Toronkawa) na ƙabilar dake zaune a cikin tun daga farkon shekara ta alif dubu ɗaya da ɗari hudu (1400),refutes,nei,nei,False,hausa,Usman Dan Fodiyo is a native of the Hausa tribe.,Shehu Usman Son of Fodiyo fought between the year one thousand eight hundred and four alif (1804) until one thousand eight hundred and twelve alif (1812). He was a descendant of one of the families (Toronkawa) of the tribe living in since the beginning of the year one thousand four hundred alif (1400),refutes,nei,nei,False,refutes,hausa,nei,nei,False,False,wrong_to_wrong
afrifact_data_culture_hausa_250,hausa,Masanin tarihin abinci da aikin gona James C. McCann ya ba da shawarar daina yaɗa shinkafa.,"Masanin tarihin abinci da aikin gona James C. McCann yayi la'akari da wannan ikirarin mai yiwuwa idan aka yi la’akari da shaharar shinkafa a cikin kwarin Niger ta sama, amma yana ganin ba zai yuwu tasa ta iya yaɗuwa daga Senegal zuwa inda take yanzu tunda ba a ganin irin wannan yaɗuwar a cikin “harshe, tsarin siyasa ko tarihi "". Maimakon haka ya ba da shawarar cewa tasa ta yaɗu tare da masarautar Mali, musamman masu sana'ar Djula waɗanda suka bazu ko'ina zuwa cibiyoyin kasuwanci da biranen yanki, tare da ɗaukar fasahar tattalin arziƙin ""ƙera, ƙaramin sikelin, da agronomy shinkafa"" gami da addini. na Musulunci.",refutes,supports,supports,False,hausa,Food and agricultural historian James C. McCann recommends stopping the spread of rice.,"Historian of food and agriculture James C. McCann considers this claim possible given the popularity of rice in the upper Niger valley, but he thinks it is unlikely that it could have spread from Senegal to its current location since such a spread is not seen in ""language, political system or history"". Instead he suggested that the dish spread with the Kingdom of Mali, especially the Djula artisans who spread throughout the commercial centers and regional cities, taking the economic technology of ""production, small scale, and rice agronomy"" as well as religion. Islamic.",refutes,nei,nei,False,refutes,hausa,supports,nei,False,False,wrong_to_wrong
afrifact_data_culture_hausa_827,hausa,Yan majalisar sun ce su wakilan jama'a ne don haka suna da ikon yin ƙarin ayyuka a cikin kasafin.,"Game da ayyukan da aka ce 'yan majalisar sun kara, ya ce su ma wakilai ne ""na jama'a kuma suna da damar sanya ayyukan da za su yi tasiri a rayuwar talaka,"" kamar yadda wata sanarwa da ya aike wa manema labarai ta ce.",supports,refutes,refutes,False,hausa,The MPs said that they are the people's representatives and therefore they have the power to do more in the budget.,"Regarding the activities that the members of parliament have added, he said that they are also representatives ""of the people and have the opportunity to implement activities that will have an impact on the lives of the poor,"" according to a statement he sent to the press.",supports,nei,nei,False,supports,hausa,refutes,nei,False,False,wrong_to_wrong
afrifact_data_culture_yoruba_701,yoruba,"Nígbà tí Buhari jẹ́ ààrẹ, ó lo sáà méjì àti àbọ̀ kí ó tó kúrò ní ipò.","Muhammadu Buhari (tí wọ́n bí ní Ọjọ́ ketàdínlógún, Oṣù Kejìlá Odún 1942 o si ku ni Oṣu Keje ọjọ 13, Ọdun 2025) olóṣèlú tí ó jẹ́ Ààrẹ orílè-èdè láàrin ọdún 2015 sí ọdún 2023. Ó lo ṣáà àkọ́kọ́ rẹ̀ láàrin odún 2015 sí 2019 àti kejì láàrin ọdún 2019 sí 2023 .",refutes,supports,supports,False,yoruba,"When Buhari was president, he spent two and a half years before leaving office.","Muhammadu Buhari (born on December 17, 1942 and died on July 13, 2025) politician who was the President of the country between 2015 and 2023. He served his first term between 2015 and 2019 and the second between 2019 and 2023 .",refutes,nei,nei,False,refutes,yoruba,supports,nei,False,False,wrong_to_wrong
afrifact_data_culture_yoruba_791,yoruba,Ẹ̀sìn ìsìláàmù jẹ́ àṣà tí Ọlọ́run ń lò láti fi ránṣẹ́ sí ànọ́bì kí àlàáfíà àti ìrọ̀rùn lè wà láàárín gbogbo ọmọnìyàn.," jẹ́ ẹ̀sìn àlááfíà,ìrọ̀rùn àti ìjupá-jusẹ̀ sílẹ̀ fún Ọlọ́run aṣẹ̀dá gbogbo ayé nípa ṣ́iṣe ìfẹ́ àti títèlé àṣẹ rẹ̀ yálà o tẹ́ ọ lọ́rùn tàbí kò tẹ́ ọ lọ́rùn. Ó tún jẹ́ ẹ̀sin tí Ọlọ́run tún fi ránṣẹ́ sí gbogbo ayé látọwọ́ àwọn òjíṣ̣́e rẹ̀ tó ti rán wá ṣáájú ànọ́bì ọmọ Abdullah (kí ìkẹ́ àti ọlà Ọlọ́hun ó ma bá a). ",refutes,supports,supports,False,yoruba,Islam is a practice that God uses to send a prophet so that there can be peace and ease among all people.,"is a religion of peace, simplicity and submission to God, the creator of the whole world by doing his will and following his command whether you like it or not. It is also a religion that God sent to the whole world through his messengers who sent us before the prophet Abdullah (may God bless him).",refutes,supports,supports,False,refutes,yoruba,supports,supports,False,False,wrong_to_wrong
afrifact_data_culture_hausa_064,hausa,Sarauniya Amina ta samu sarautar Zazzau a shekarar 1533.,"Sarauniya Amina Sarauniyar Zazzau, ta rayu daga shekara ta alif 1533 zuwa shekara ta alif 1610, ɗaya ce daga cikin yara biyu da sarkin Bakwa ya haifa.",refutes,supports,supports,False,hausa,Queen Amina got the throne of Zazzau in 1533.,"Queen Amina, Queen of Zazzau, lived from the year 1533 to the year 1610, she was one of the two children born to the king of Bakwa.",refutes,nei,nei,False,refutes,hausa,supports,nei,False,False,wrong_to_wrong
afrifact_data_culture_yoruba_179,yoruba,"Òrìṣà ńlá tí wọ́n máa ń gbóríyìn fún ni Ṣági fún agbára rẹ̀ láti lè pèsè owó, ọlá, àti àṣeyọrí fún àwọn olùsìn rẹ̀.","Àwọn Yorùbá gbà gbọ́ pé Olókun ní ó bí Aje, èyí tí ó jẹ́ Òrìsà fún Ọrọ̀, Ọlá, tí ó wà ní ìsàlẹ̀ òkun. Olókun jẹ́ òrìsà tí ó ń darí àwọn ohun tí ó wà lábé Omi òkun, Ó sí jẹ́ òrìsà tí ó lágbára jù gbogbo ohùn tí ó wà lábé Omi òkun tàbí àwọn òrìṣà kékéèèké tí ó wà lábé Omi òkun. Olókun jẹ́ Òrìsà nlá tí wọn máa ń gbórínyìn fún nípa bí ó ti lágbára láti fún àwọn olúsín rẹ ní Owó, Ọlá, Ọrọ̀, àti àṣeyọrí nígbà tí wọn bá kìí tán. ",refutes,supports,supports,False,yoruba,"Sági is a great deity who is praised for his ability to provide money, honor, and success to his worshippers.","The Yorubas believe that Olokun gave birth to Aje, which is the God of Wealth, Ola, who is at the bottom of the sea. Olokun is the god who controls the things under the sea, and he is the god who is stronger than all the voices under the sea or the small gods who are under the sea. Olokun is a great God who is praised for his ability to give his worshipers Money, Honor, Wealth, and success when they are not finished.",refutes,nei,nei,False,refutes,yoruba,supports,nei,False,False,wrong_to_wrong
afrifact_data_culture_yoruba_596,yoruba,Adebayo Shittu je mínísítà fún ètò ìbánisọ̀rọ̀ ní Nàìjíríà láti ọdún 2017 sí ọdún 2019.,"Adebayo Shittu jẹ́ minisita fún ètò ìbánisọ̀rọ̀ ní Nàìjíríà tẹ́lẹ̀ láàárín ọdún 2011 sí 2019 lábẹ́ Ààrẹ tẹ́lẹ̀ rí. Shittu lo rọpo gege bi minisita fun eto ibanisoro, Isa Ali Pantami lo tele.",refutes,supports,supports,False,yoruba,Adebayo Shittu was the Minister of Communications in Nigeria from 2017 to 2019.,"Adebayo Shittu was the former Minister of Communications in Nigeria between 2011 and 2019 under the former President. Shittu was replaced as minister for communication, followed by Isa Ali Pantami.",refutes,nei,nei,False,refutes,yoruba,supports,nei,False,False,wrong_to_wrong
afrifact_data_culture_igbo_739,igbo,Mansur Dan-Ali nyere ndị agha Naịjirịa iwu ịkwaga Borno ngwangwa.,Ndị agha kwaga Borno ozugbo! Muhammadu Buhari na ndị isi agha Naịjirịa Gọọmenti etiti enyela ọchịagha Tukur Buratai iwu ya kwara ngwongwo ya gafee n'ọwaanyụ nke ukwu awusa ka ọ ga mara ebe ya bụ asuruasu dowere akaodo. Minista na ahụ maka ndị agha bụ Mansur Dan-Ali kwuputara nke a n'Abuja ụnyahụ.,refutes,nei,nei,False,igbo,Mansur Dan-Ali ordered the Nigerian army to move to Borno immediately.,"Soldiers move to Borno immediately! Muhammadu Buhari and the Nigerian military leaders, the Federal Government has ordered Commander Tukur Buratai to take his belongings across the Great Awasa so that he will know where he is. The Minister of Defense, Mansur Dan-Ali, disclosed this in Abuja yesterday.",refutes,nei,nei,False,refutes,igbo,nei,nei,False,False,wrong_to_wrong
afrifact_data_culture_igbo_325,igbo,Chinwoke Mbadinuju zọrọ ọkwa onye isi ala ka afọ anọ gachara Naịjirịa laghachiri n'ọchịchị onye kwuo uche ya n'afọ 2003.,"Gọvanọ nke Anambra Steeti [ | ] Anambra na Mgbe ọ laghachiri na ọchịchị onye kwuo uche ya na 1998, Chinwoke Mbadinuju ghọrọ onye na-azọ ọkwa gọvanọ nke People's Democratic Party (PDP) maka ọchịchị Anambra State",refutes,nei,nei,False,igbo,Chinwoke Mbadinuju claimed the presidency four years after Nigeria returned to democracy in 2003.,"Governor of Anambra State [ | ] Anambra and After the return to democracy in 1998, Chinwoke Mbadinuju became the gubernatorial candidate of the People's Democratic Party (PDP) for Anambra State.",refutes,nei,nei,False,refutes,igbo,nei,nei,False,False,wrong_to_wrong
afrifact_data_culture_hausa_757,hausa,Chinenye Okafor ta bar wasan ƙwallon kafa ne saboda ra'ayin kanta.,"Chinenye Okafor ta koma mai kitso da gyaran gashi saboda rashin albashi Wannan ne halin da Chinenye Okafor ta tsinci kanta a ciki, amma ba haka abin yake ba kwata-kwata.",refutes,nei,nei,False,hausa,Chinenye Okafor quit football because of her own opinion.,"Chinenye Okafor went back to being fat and having her hair done because of lack of pay This is the situation that Chinenye Okafor found herself in, but that is not the case at all.",refutes,nei,nei,False,refutes,hausa,nei,nei,False,False,wrong_to_wrong
afrifact_data_culture_hausa_696,hausa,Yawan matan da ke kashe kan su a ƙasar Japan ya ƙaru da kashi 70 a watan Nuwamba.,"A wata daya kawai, watan Okotoba, matan da ke kashe kansu sun karu da kashi 70 a Japan idan aka kwatanta da watan Oktoban da ya gabace shi.",refutes,nei,nei,False,hausa,The number of female suicides in Japan increased by 70 percent in November.,"In just one month, the month of Okotoba, women who commit suicide have increased by 70 percent in Japan compared to the previous month of October.",refutes,supports,supports,False,refutes,hausa,nei,supports,False,False,wrong_to_wrong
afrifact_data_culture_yoruba_635,yoruba,"Ní ìwọ̀ oòrùn ìtà Ipetumodu ni ilé ìwé Federal Government Girl's College wà, èyí tó jẹ́ aládàá ní.","Ipetumodu jẹ́ ìlú ńlá kan ní ilẹ̀ Yorùbá ní apá Ìwọ-oòrùn Gúúsù ilẹ̀ , ó sì jẹ́ ìlú pàtàkì kan ní tí ó sì jẹ́ olú ìlú . Ìlú yìí ní ilé-ẹ̀kọ́ gíga aládàáni kan tí orúkọ rẹ̀ ń jẹ́ Oduduwa University àti ilé-ìwé gírámà márùn-ún, tí ó jẹ́ ti ìjọba àti ilé-ìwé Federal Government Girls' College",refutes,supports,supports,False,yoruba,"In the west of Ipetumodu street is the Federal Government Girl's College, which is very beautiful.","Ipetumodu is a large city in Yoruba land in the South West part of the country, and it is an important city and is the capital of the city. This town has a private university called Oduduwa University and five public grammar schools and the Federal Government Girls' College.",refutes,nei,nei,False,refutes,yoruba,supports,nei,False,False,wrong_to_wrong
afrifact_data_culture_yoruba_309,yoruba,Sunday Igboho tẹ̀lẹ̀ àwọn ọlọ́pàá lọ sí ilé Seriki ní Igangan pẹ̀lú ìgboyà lẹ́yìn tí wọ́n fi ẹ̀sùn jíjó ilè náà kàn án láti fi ìdí rẹ̀ múlẹ̀ pẹ́ òun kò mọ ohunkóhun nípa rẹ̀.,"Sé lọ́ọ̀tọ́ ni Sunday Igboho jó ilé Seriki fulani ní Igangan? Ẹ jẹ́ kí n sàlàyé kí ọ̀rọ̀ le tán nílẹ̀. ""Nígbà tí mo dé Eruwa, mó lọ fi ara mi hàn lágọ̀ọ́ ọlọ́pàá, mò sì sọ ǹkan ti mo bá wá si àdúgbò náà, adáriu ẹka ilé iṣẹ́ ọlọ́pàá náà sì gbà láti tẹ̀lẹ́ wá lọ. Nígbà tí a de Igangan, à tún bá àwọn 'ọlọ́pàá operation Burst' a lọ sínú ]ilú náà rán pẹ́ asì pada lẹ́sẹ̀kẹsẹ̀ láti lọ sọ fún àwọn ọlọ́pà''a. Ìbéérè mi ni pé, ṣe ọ̀gá ọlọ́pàá yóà máa wò wá kí a lọ má dáná sun ilé Seriki? Sé ọlọ́pàá Operation Burst yóò jk kí a lọ tí a bá dáná sun ilé Seriki? Kò sí nkan tó jọ bẹ́ẹ̀ nígbà tí a wà níbẹ̀ nítorí náà àwa kọ́ ni a dáná sun ilé Seriki Fulani. Sunday Igboho wa gba gbogbo ọmọ Kárọ̀-oojíre nímọ̀ràn pé kí wọ́n wà ní ìṣọ̀kàn kí wọ́n sìmì ọ̀rọ̀ òṣèlú ṣíṣe lórí ǹkan tó niṣe pẹlú igbésí ayé àwọn ènìyàn.",supports,nei,nei,False,yoruba,Sunday Igboho preceded the police to Seriki's house in Igangan with courage after he was accused of breaking into the house to prove that he knew nothing about it.,"Is it true that Sunday Igboho burnt the house of Seriki Fulani in Igangan? Let me explain to be clear. ""When I arrived in Eruwa, I presented myself at the police station, and I said something when I came to the area, and the head of the police station agreed to accompany us. When we arrived in Igangan, we went to the city with the 'operation Burst police' and sent them back immediately to tell the police."" I said, will the police officer ask us not to burn Seriki's house? Will the police force let us go if we burn Seriki's house? There was nothing like that when we were there, so we did not burn Seriki's house. Sunday Igboho advised all the children of Karo-oojire to stay calm. It is important to talk about politics on things that have to do with people's lives.",supports,nei,nei,False,supports,yoruba,nei,nei,False,False,wrong_to_wrong
