id,language_original,claim_original,gold_evidence_original,gold_label_original,raw_response_original,predicted_label_original,correct_original,language_translated,claim_translated,gold_evidence_translated,gold_label_translated,raw_response_translated,predicted_label_translated,correct_translated,gold_label,language,original_prediction,translated_prediction,original_correct,translated_correct,transition
afrifact_data_culture_hausa_389,hausa,"Ango a al'adar Hausawa yana da alhakin siyan kayan lefe kafin aure, sannan kayan ana kai su gidan amarya ta hannun mata.","Al'adar Hausawa ce inda ango ke siyan kayan amfani masu kyau da tsada a matsayin wata babbar kyauta da zai bawa amaryarsa. Wadannan kyaututtukan ango na gama sayen sune kafin Auren shi, bayan sun gama kammaluwa, sai iyayen Ango kama daga Inna, Gwaggonninsa da sauran su, mata ne suke kai kayan gidan Amarya, Ita kuma Amarya sai iyayen ta mata su karba kayan su dan ba iyayen Ango abinci da dan tukuici. ",supports,supports,supports,True,hausa,"In Hausa culture, the groom is responsible for buying lepe clothes before the wedding, and the clothes are taken to the bride's house by the women.","It is a Hausa tradition where the groom buys beautiful and expensive items as a great gift to his bride. These gifts that the groom buys are before the wedding, after they have finished, the groom's parents, including his mother, his puppets and others, are the women who take the things to the bride's house.",supports,nei,nei,False,supports,hausa,supports,nei,True,False,correct_to_wrong
afrifact_data_culture_igbo_173,igbo,Otu onye bi n'Anambra kwuru na ọ ruola afọ iri mmiri gbadebere na mpaghara ya.,Otu onye bi Enugwu sị na o ruola afọ iri mmiri gbadebere na mpaghara ya bi n'Enugwu.,refutes,refutes,refutes,True,igbo,A resident of Anambra said that it has been 10 years of rain in his area.,A resident of Enugu said that it has been 10 years since he lived in Enugu.,refutes,nei,nei,False,refutes,igbo,refutes,nei,True,False,correct_to_wrong
afrifact_data_culture_yoruba_186,yoruba,Àwọn ọmọ ẹgbẹ́ PDP fẹ̀hónúhàn nílé ẹjọ́ gíga jùlọ lórí owó ìṣúná ẹ̀ka ìdájọ́.,"Àwọn ọmọ ẹgbẹ́ PDP fẹ̀hónúhàn nílé ẹjọ́ gíga jùlọ Iru ofin wo ni wọn fi n ṣe eto owo iṣuna ẹka idajọ tẹlẹ? Ṣaaju ki Aarẹ Buhari to o pa aṣẹ naa, awọn gomina ipinlẹ lo ma n sọ iye owo ti wọn yoo fun awọn ẹka ijọba yooku, to fi mọ yiyọnda owo naa fun wọn. O ma n farahan ninu aba owo isuna ti wọn n gbe lọ siwaju awọn aṣofin ipinlẹ.",supports,supports,supports,True,yoruba,PDP members protested at the Supreme Court on the budget of the judiciary.,"PDP members spoke at the supreme court What kind of law are they making the budget of the justice department before? Before President Buhari closed the order, the state governors used to say how much money they would give to other government departments, so that they know how much money will be given to them. It often appears in the budget proposals that are being presented to state legislators.",supports,nei,nei,False,supports,yoruba,supports,nei,True,False,correct_to_wrong
afrifact_data_culture_yoruba_731,yoruba,"Ernest wà ní ipò láti ọjọ́ mẹ́rindínlọ́gbọ̀n, oṣù kẹjọ, ọdún 1993 títí dé ọjọ́ kẹ́tadínlógún, oṣù kọkànlá ọdún 1993 tí ó fi fẹ̀yìn tì.","Ernest Adégúnlé Oládéìǹdé Shónèkàn, ( ọjọ́ kẹẹ̀sán, oṣù Ebi ọdún1936 ní , orílẹ̀-èdè ) jẹ́ agbejọ́rò ará ilẹ̀ Nàìjíríà. Shónékà jẹ́ fún ìgbà díẹ̀ láti ọjọ mẹ́rìndínlọ́gbọ̀n, oṣù kẹ́jọ, ọdún 1993 títí dé ọjọ́ kẹtàdínlógún, oṣù kọkànlá, ọdún 1993 tí ọ̀gágun fipa gbà joba lọ́wọ́ rẹ̀.",supports,supports,supports,True,yoruba,"Ernest was in office from the twenty-sixth day of August, 1993 until the seventeenth day of November, 1993 when he retired.","Ernest Adégúnlé Oladéindé Shonekán, (9th day, month of Ebi year 1936 in , country ) is a Nigerian lawyer. Shoneka was for a short time from the twenty-sixth day of the eighth month of 1993 until the seventeenth day of the eleventh month of 1993 when the general took over from him.",supports,nei,nei,False,supports,yoruba,supports,nei,True,False,correct_to_wrong
afrifact_data_culture_yoruba_528,yoruba,Wizkid jẹ́ ọ̀kan lára àwọn olórin tàkásúfẹ̀ẹ́  Afro Beat tó wà ní orílẹ̀-èdè Nàìjíríà.,Orin Takasufe Afro kíkọ lọ́nà àrà Ọpọlọpọ ọmọ Naijiria lo ti gbe ògo orin Takasufe ti wọn n pe ni Afro Beats ga nile ati lẹyin odi. Wizkid jẹ ọkan lara awọn ọdọmọde olowo to bẹrẹ orin kikọ lọmọ ọdun 11 nile ijọsin Eyi tun pegede si ti orin oloogbe Fela Anikulapo Kuti to n kọ Afro Beat nigba aye rẹ ninu eyi to ti ṣadapọ orin alariwo ati takasufe papọ.,supports,supports,supports,True,yoruba,Wizkid is one of the best Afro Beat musicians in Nigeria.,Takasufe's Afro music sung in a traditional way Many Nigerians have raised the glory of Takasufe's music which they call Afro Beats at home and abroad. Wizkid is one of the rich youths who started writing music at the age of 11 in church. This is also similar to the music of the late Fela Anikulapo Kuti who was writing Afro Beat during his life in which he has mixed loud music and takasufe together.,supports,nei,nei,False,supports,yoruba,supports,nei,True,False,correct_to_wrong
afrifact_data_culture_igbo_624,igbo,Mmadụ iri asaa na asatọ nọ n'ime ụgbọelu Sibera Airlines si obodo Tel Aviv aga obodo Novobirsk Rọshịa nwụrụ ka ugbọelu ha dabara n'oshimiri ojii. Ndị agha Ukren gọrọ na aka ha adịghị ya mechaa kweta na aka ha dị na ya.,"Otu ụgbọelu Siberia Airlines plane si obodo Tel Aviv dị na Esrel aga obodo Novosibirsk, dị na Rọshia oge agbaturu ya. Ụgbọelu a dabara n'ime oshimiri ojii. Mmadụ 78 nọ n'ime ya nwụrụ. Ndị agha Ukren kwuburu na aka ha adịghị ya mana ha mechara kwenyere na ọ bụ ha. Ha sị na ọ bụ ka a na-akuziri ndị agha ka ihe mere.",supports,supports,supports,True,igbo,"Seventy-eight people on board a Sibera Airlines flight from Tel Aviv to Novobirsk, Russia died when their plane crashed into the Black River. The Ukrainian military denied that they had anything to do with it and later admitted that they did.","A Siberia Airlines plane was flying from Tel Aviv, Israel to Novosibirsk, Russia when it was shot down. The plane crashed into the black sea. 78 people on board died. The Ukrainian military initially claimed that it was not their fault but later admitted that it was them. They said that this is how soldiers are trained.",supports,"nei

The evidence mentions the Black Sea,",nei,False,supports,igbo,supports,nei,True,False,correct_to_wrong
afrifact_data_culture_hausa_163,hausa,Tsadar fitulu masu amfani da hasken rana ne yasa gwamnatoci ke barin titinan jiharsu a cikin duhu.,"Sanya fitulun titi masu amfani da hasken rana a babban birnin jihar ya kara inganta rayuwar mazauna jihar, tare da inganta tsaro da tsaro.",nei,nei,nei,True,hausa,The high cost of solar lights is why governments are leaving their state roads in the dark.,"The installation of solar powered street lights in the state capital has improved the lives of the residents of the state, as well as improved security and safety.",nei,refutes,refutes,False,nei,hausa,nei,refutes,True,False,correct_to_wrong
afrifact_data_culture_igbo_798,igbo,O nwere otu oge n'ala Igbo mgbe ndị mmadụ na-atụ ụjọ izu ihe mmadụ ibe ha maọbụ zọkọrọ oke abụghị nke ha.,"Mana, ọbụghịkwanụ sọsọ ugbua ka a malitere ikwu maka nchekwa. Mgbe elu ka bụ ala ọsa n'ala Igbo, ezi nchekwa obodo dị makana ndị mmadụ na-atụ ụjọ izu oshi, ịbanye be mmadụ n'ike maọbụ zọkọrọ oke na-abụghị nke ha. Nke a bụ makana ha ma na ihe ga-eso ya abụghị ihe eji ọnụ akọcha.",supports,supports,supports,True,igbo,There was a time in Igbo land when people were afraid to steal things from their fellow human beings or steal things that were not theirs.,"But, it was not until now that we started talking about security. When the land is still dry land in Igbo land, there is good national security but people are afraid of theft, entering the people by force or trespassing on borders that are not theirs. This is their makana and what will follow it is not something that is used in the mouth.",supports,refutes,refutes,False,supports,igbo,supports,refutes,True,False,correct_to_wrong
afrifact_data_culture_hausa_732,hausa,Hukumar zaɓe zata raba manyan rumfunan zaɓe gida biyu saboda samun saukin gudanar jefa kuri'u.,"Sai dai tanadin Hukumar zabe shi ne a duk lokacin da ta ga rumfar ta yi girman da ya kai a dan yayyanka ta yadda ranar zabe za a samu gudanar da zabubbuka a cikin sauki, za ta yi haka, Za ta kuma tura karin ma'aikata domin a samu damar gudanar da zabe a wannan rumfa, ba tare da an samu wani tawaya ko jinkiri ba.",supports,supports,supports,True,hausa,The Election Commission will divide the main polling stations into two parts for the convenience of voting.,"However, the provision of the Election Commission is whenever it sees that the booth is big enough so that on the election day the elections will be held easily, it will do so, and it will send more workers to be able to conduct elections in this booth, without any hindrance or delay.",supports,nei,nei,False,supports,hausa,supports,nei,True,False,correct_to_wrong
afrifact_data_culture_igbo_618,igbo,Gọọmentị chọrọ ka e lie Mugabe ebe a na-eli ndị dike obodo mana Ezinụlọ Mugabe ekwenghị n'ihi na Mugabe gwara ha mgbe ọ dị ndụ ka ha lie ya n'akụkụ ala ili nna ya Bona.,"Gọọmentị chọburu ka e lie Mugabe ebe a na-eli ndị dike obodo ji biri, mana ezinụlọ ya ekweghị. Ha kwuru na Mugabe chọrọ ka ili ya na nke nne ya bụ Bona dịkọta nso. Onweghị onye ọrụ gọọmentị gbalitere n'ọkwa bịara olili Mugabe. Nwunye ya bụ Grace nakwa ụmụ ya socha duru akpati ya ruo mgbe a dọnyere ya n'ala. ",supports,supports,supports,True,igbo,The government wanted Mugabe to be buried at the National Heroes' Cemetery but Mugabe's family did not agree because Mugabe told them when he was alive to bury him next to his father Bona's burial ground.,"The government had wanted Mugabe to be buried in the country's heroes' cemetery, but his family refused. They said that Mugabe wanted his grave and that of his mother Bona to be close together. No high-ranking official attended Mugabe's funeral. His wife Grace and his children carried his coffin until it was placed on the ground.",supports,nei,nei,False,supports,igbo,supports,nei,True,False,correct_to_wrong
afrifact_data_culture_igbo_541,igbo,Ọkaiwu Paul Achalla gwara ndị BBC Igbo na Nnamdị Kanụ dara Iwu Facebook ya mere e ji machie akantụ ya.,"Paul Achalla bụ ọkaiwu na mba ofesi ma bụrụkwa onye otu Ipob ekwuola atụmatụ ha ga-agbaso iji weghachi akara Facebook onyeisi ha bụ Nnamdi Kanu. Na mkparịtaụka ya na BBC Igbo, Achalla kọwara na o nwereike ịbụ maka otu ihe maọbụ nke ọzọ ka e ji wetuo akara facebook Nnamdi Kanu, mana Facebook kwesịrị inye ya ohere ka ọ zara ọnụ ya. ",refutes,refutes,refutes,True,igbo,Lawyer Paul Achalla told BBC Igbo that Nnamdi Kanû violated the Facebook Law and that is why his account was banned.,"Paul Achalla, a lawyer abroad and a member of Ipob, has stated the plan they will follow to restore the Facebook logo of their leader, Nnamdi Kanu. In his interview with BBC Igbo, Achalla explained that it may be for one reason or another that Nnamdi Kanu's Facebook account was taken down, but Facebook should give him a chance to respond.",refutes,nei,nei,False,refutes,igbo,refutes,nei,True,False,correct_to_wrong
afrifact_data_culture_igbo_036,igbo,"N'ime ụdị ihe abụọ e ji arụ ọja, nke na-aka anọte aka bụ nke osisi ","N'ime ụdị ihe abụọ a e ji arụ ya, nke osisi na-aka nọtee aka ruo ogologo oge. ",supports,supports,supports,True,igbo,"Of the two types of construction materials, the most common is wood","Of these two types of construction materials, the one made of wood has been used for a long time.",supports,nei,nei,False,supports,igbo,supports,nei,True,False,correct_to_wrong
afrifact_data_culture_igbo_086,igbo,Ji ahụrụ ahụ bụ ji e ji eme emume iri ji ọhụrụ.,Ọ bụ ya ka e ji eme emume iri ji ọhụrụ.,supports,supports,supports,True,igbo,Seeing the body is used to celebrate the New Year.,It is what is used to celebrate the New Year.,supports,refutes,refutes,False,supports,igbo,supports,refutes,True,False,correct_to_wrong
afrifact_data_culture_yoruba_096,yoruba,"Ìrẹsì aládùn kan tí à ń fi tòmátì, àlùbọ́sà àti àwọn amóúnjẹ-ta-sánsán sè ni jọ̀lọ́ọ̀fù jẹ́.","Oúnjẹ yìí jẹ́ àdàpọ̀ ìrẹsì, tòmátì, àlùbọ́sà, àwọn èròjà amóúnjẹ-ta-sánsán, ẹ̀fọ́ àti ẹran papọ́ sínú ìkòkò kàn, pẹ̀lú èròjà, àti pé orísirísi ònà ní àwọn èèyàn ń gbà ṣe oúnjẹ yìí níbikíbi. Ìtàn àti ìpìlẹ̀ṣẹ̀ [ | ] Wọ́n tọ orírun ìrẹsì àsèpọ̀ jọ̀lọ́ọ̀fù lọsí agbègbè Sẹ̀nẹ̀gáḿbíà lábẹ ìjọba Jọ̀lọ́ọ̀fù tàbí Wọ́lọ́ọ̀fù ní ọ̀rúndún kẹrìnlá, èyí tí Sẹ̀nẹ̀gà, Gáḿbíà àti Mọriténíà máa ń dáko ìrẹsì.",supports,supports,supports,True,yoruba,"Jalofuf is a delicious rice cooked with tomatoes, onions and herbs.","This dish is a mixture of rice, tomato, onion, vegetables, herbs and meat together in a pot, with ingredients, and people cook this dish in different ways everywhere. History and background [ | ] They brought a type of mixed rice similar to the Senegalese in the region of Senegal under the kingdom of Joloofu or Wolofu in the 14th century, which Senegal, Gambia and Mauritania used to exchange rice.",supports,nei,nei,False,supports,yoruba,supports,nei,True,False,correct_to_wrong
afrifact_data_culture_yoruba_624,yoruba,Ìpínlẹ̀ Òndó tí a tún mọ̀ sí Sunshine State jẹ́ ọ̀kàndínlógún ìpínlẹ̀ tí àwọn èèyàn pọ̀ jùlọ lórílẹ̀-èdè.,"Ondo state Tí orúkọ ìnagijẹ rẹ̀ njẹ́ ""Sunshine State"", Ondo jé ọ̀kàndìnlógún Ìpínlẹ̀ tí ó pọ̀ jùlọ ní orílẹ̀ èdè , tí ó sì jẹ́ ìpínlẹ̀ karùndínlọ́gbọ̀n tó fẹ̀ jùlọ gẹ́gẹ́ bí ìwọ̀n ilẹ̀ gbígbà.",supports,supports,supports,True,yoruba,"Ondo State, also known as the Sunshine State, is the 19th most populous state in the country.","Ondo state Nicknamed ""Sunshine State"", Ondo is the 11th largest state in the country and the 25th largest state in terms of land area.",supports,nei,nei,False,supports,yoruba,supports,nei,True,False,correct_to_wrong
afrifact_data_culture_igbo_554,igbo,"Odumeje, Rita Edochie na Ada Jesus nwere nsogbu. Rita Edochie mechara gbaghara Ada Jesus ebubo niile o boro ya.","Rita Edochie, Odumeje, Ada Jesus: 'Chukwu abọrọla m ọbọ n'isi nwada a' Onye na-eme ihe nkiri ama ama aha ya bụ Rita Edochie ekwuola na ọ gbagharala Ada Jesus bụ ọkpaọchị ama ama maka okwu ọjọọ o kwuru megide ya. O kwuru si na obi dị ya ụtọ na ụwa amarala na Ada Jesus tụgidere ya asị. ",supports,supports,supports,True,igbo,"Odumeje, Rita Edochie and Ada Jesus have problems. Rita Edochie later forgave Ada Jesus of all the accusations she made against him.","Rita Edochie, Odumeje, Ada Jesus: 'Chukwu I have taken revenge on this lady' A famous actress named Rita Edochie has said that she has forgiven Ada Jesus who is a famous actress for the bad words she said against her. He said that he was happy that the world knew that Ada Jesus hated him.",supports,nei,nei,False,supports,igbo,supports,nei,True,False,correct_to_wrong
afrifact_data_culture_yoruba_719,yoruba,"Nígbà ìbárà yìí,  àwọn láàárín Ìjẹ̀bú máa gbé oúnjẹ wá láti gba iyọ̀. ","Bàbá Kutere jẹ́ ní Ìpínlẹ̀ Èkó nígbà àwọn ọdún 1700s. Nígbà tí Kutere wà lórí oyè, ìbárà láàrin Èkó àti and Ijebu wọ́pọ̀ si, àwọn Ìjẹ̀bú gbé oúnjẹ wá láti gba iyọ̀, tobacco, spirits, àti àwọn ìkan míràn tí àwọn",supports,supports,supports,True,yoruba,"During this time, the people of Ijebu will bring food to get salt.","Kutere's father was in Lagos State during the 1700s. When Kutere was in power, the friendship between Lagos and Ijebu increased, the Ijebu people brought food to get salt, tobacco, spirits, and other things that they",supports,nei,nei,False,supports,yoruba,supports,nei,True,False,correct_to_wrong
afrifact_data_culture_hausa_239,hausa,An gina kasuwar kurmi a cikin gundumar Jakara.,"An kafa kasuwar Kurmi a cikin karni na goma sha biyar (15) a matsayin cibiyar kasuwanci da adana kayayyaki don cigaban kasuwanci a cikin birni, sakamakon fadada kasuwancin yanki da Sahara. An Kuma gina ta a cikin gundumar Jakara na cikin birni. ",supports,supports,supports,True,hausa,A forest market was built in Jakara district.,"The market of Kurmi was established in the fifteenth century (15) as a center of trade and storage of goods for the development of business in the city, as a result of the expansion of trade in the region and the Sahara. It was built in the Jakara district of the city.",supports,refutes,refutes,False,supports,hausa,supports,refutes,True,False,correct_to_wrong
