Category,Experiment,Accuracy,Macro_F1,Precision,Recall
Encoder,XLM-R Custom Split,0.4593495934959349,0.4421564386359187,0.4622852001799371,0.4602034878777055
Encoder,AfriBERTa Custom Split,0.4979674796747967,0.4922958039153429,0.4916661882179123,0.4932786196206484
Gold Evidence,XLM-R Gold Evidence,0.6300813008130082,0.5892116160237537,0.6087058718637666,0.6173307871534535
Gold Evidence,AfriBERTa Gold Evidence,0.5711382113821138,0.5686826762301523,0.5768571227279132,0.568618393720071
LLM,Qwen 1.5B Claim Only,0.3902439024390244,0.3807370698743907,0.3939981202687532,0.3892545378124719
LLM,Qwen 1.5B Gold Evidence,0.4593495934959349,0.4003970354171877,0.5256181114089961,0.4523438581913861
LLM,Qwen 1.5B Gold + Reasoning,0.4369918699186992,0.4252152940375701,0.4601962770923973,0.4338630990993617
LLM,Qwen 1.5B BM25 Evidence,0.3943089430894309,0.3182096976721723,0.4700521989428297,0.3926127984411937
LLM,Qwen 1.5B Adversarial Evidence,0.3333333333333333,0.3155906141930321,0.3490605375261963,0.3260941527756519
LLM,Qwen 14B Gold Evidence,0.6402439024390244,0.6001935015092474,0.7247207157094516,0.6242325624336426
LLM,Qwen 14B Few-shot (3),0.6402439024390244,0.5956991204578296,0.7043377674956622,0.6253398348384464
LLM,Qwen 14B Few-shot (6),0.6443089430894309,0.5928333586816124,0.700043484780327,0.6296319579588773
LLM,Qwen 14B Few-shot (9),0.6321138211382114,0.5825323018131773,0.6980871295886776,0.6181377050853141
LLM,Qwen 14B + Google Translate,0.7357723577235772,0.733508075478329,0.8008593226925376,0.7290599178322484
LLM,Qwen 14B + Translate + Generic Examples,0.6219512195121951,0.5937939837939837,0.7955999334736875,0.6060685573510011
