Language,Experiment,Examples,Accuracy
hausa,qwen_1_5b_claim_only,166,0.3855421686746988
hausa,qwen_1_5b_gold,166,0.42168674698795183
hausa,qwen_1_5b_bm25,166,0.43373493975903615
hausa,qwen_1_5b_adversarial,166,0.3493975903614458
hausa,qwen_14b_gold,166,0.6506024096385542
hausa,qwen_14b_translated,166,0.7590361445783133
igbo,qwen_1_5b_claim_only,163,0.4110429447852761
igbo,qwen_1_5b_gold,163,0.5030674846625767
igbo,qwen_1_5b_bm25,163,0.39263803680981596
igbo,qwen_1_5b_adversarial,163,0.34355828220858897
igbo,qwen_14b_gold,163,0.6073619631901841
igbo,qwen_14b_translated,163,0.7423312883435583
yoruba,qwen_1_5b_claim_only,163,0.37423312883435583
yoruba,qwen_1_5b_gold,163,0.4539877300613497
yoruba,qwen_1_5b_bm25,163,0.3558282208588957
yoruba,qwen_1_5b_adversarial,163,0.3067484662576687
yoruba,qwen_14b_gold,163,0.6625766871165644
yoruba,qwen_14b_translated,163,0.7055214723926381
