Gold_Label,Experiment,Examples,Accuracy
nei,qwen_1_5b_claim_only,174,0.5057471264367817
nei,qwen_1_5b_gold,174,0.3103448275862069
nei,qwen_1_5b_bm25,174,0.10919540229885058
nei,qwen_1_5b_adversarial,174,0.5114942528735632
nei,qwen_14b_gold,174,0.9540229885057471
nei,qwen_14b_translated,174,0.9597701149425287
refutes,qwen_1_5b_claim_only,152,0.42105263157894735
refutes,qwen_1_5b_gold,152,0.125
refutes,qwen_1_5b_bm25,152,0.17105263157894737
refutes,qwen_1_5b_adversarial,152,0.17763157894736842
refutes,qwen_14b_gold,152,0.25
refutes,qwen_14b_translated,152,0.625
supports,qwen_1_5b_claim_only,166,0.24096385542168675
supports,qwen_1_5b_gold,166,0.9216867469879518
supports,qwen_1_5b_bm25,166,0.8975903614457831
supports,qwen_1_5b_adversarial,166,0.2891566265060241
supports,qwen_14b_gold,166,0.6686746987951807
supports,qwen_14b_translated,166,0.6024096385542169
