id,language_original,claim_original,gold_evidence_original,gold_label_original,raw_response_original,predicted_label_original,correct_original,language_translated,claim_translated,gold_evidence_translated,gold_label_translated,raw_response_translated,predicted_label_translated,correct_translated,gold_label,language,original_prediction,translated_prediction,original_correct,translated_correct,transition
afrifact_data_culture_hausa_657,hausa,Shugaba Muhammadu Buhari ya kaddamar da eNaira a ranar 20 ga watan Yunin 2016.,"An samo sunan “Naira” daga kalmar “Nigeria” ta Obafemi Awolowo.Sai dai kuma, Naira a matsayin kudin da Shehu Shagari ya kaddamar a matsayin ministan kudi a shekarar 1973. Babban bankin Najeriya ya yi ikirarin cewa sun yi yunkurin shawo kan hauhawar farashin kayayyaki a duk shekara kasa da kashi 10%.",nei,nei,nei,True,hausa,"President Muhammadu Buhari launched the eNaira on June 20, 2016.","The name ""Naira"" was derived from the word ""Nigeria"" by Obafemi Awolowo. However, the Naira as a currency was launched by Shehu Shagari as the Minister of Finance in 1973. The Central Bank of Nigeria claims that they have tried to control the annual inflation rate below 10%.",nei,nei,nei,True,nei,hausa,nei,nei,True,True,correct_to_correct
afrifact_data_culture_igbo_058,igbo,Ngagharị iwe a bụ ụzọ e si edozi esemokwu.,Ọ bụ nnukwu nnupụisi mbụ ụmụ nwanyị mere na West Africa.,nei,nei,nei,True,igbo,This protest is a way of resolving conflict.,It was the first major women's rebellion in West Africa.,nei,nei,nei,True,nei,igbo,nei,nei,True,True,correct_to_correct
afrifact_data_culture_igbo_749,igbo,Ihe isi ike anaghị emetụta ihe ndị e ji alụ ụm̀ụ nwaanyị Igbo. Ụmụ ntorobịa Igbo kwuru na ha zuru ka emee.,"Ndị ntorobia Igbo: Belatanụ Ihe eji alụ nwaanyị Ndị ntorobia Igbo akpola oku ka obodo dị n'Igbo wedata ihe ndị ọ na-eri iji lụọ nwaanyị n'ala igbo. Ndị ntorobịa kwuru a nke na mkparịtaụka BBC hiwere na Facebook ụbọchị Fraide rụtụ®ụaka na ihe isi ike, ihe ilụnwaanyị na-erị nakwa oke mgbuchi nne nna na Igbo na-egbuchi ụmụ ha ndị nwaanyị so 'ihe na akpata alụghhị di maọbụ nwaanyị n'oge.",refutes,refutes,refutes,True,igbo,Hardship does not affect the marriage of Igbo women. Igbo youths said that they are ready to do it.,Igbo youths: Reduce wedding expenses Igbo youths have called on Igbo communities to reduce the cost of marrying a woman in Igbo land. The youth said this in a discussion on Facebook organized by the BBC on Friday.,refutes,refutes,refutes,True,refutes,igbo,refutes,refutes,True,True,correct_to_correct
afrifact_data_culture_igbo_384,igbo,"N'ịgbado ụkwụ n'oke ala nakwa ngwaahịa, Ahịa Main Market Ọnicha bụ otu n'ime ahịa kacha bu ibu n'ọdịda anyanwụ Afịrịka",Ahịa Ọnicha nke a makwaara dị ka Onitsha Main Market na bekee bụ otu n'ime ahịa kacha ibu na ọdịda anyanwụ Afrịka dabere na nha ala na oke ngwongwo ahịa a n'ere ebe ahụ.,supports,supports,supports,True,igbo,"In terms of land and products, the Main Market is one of the largest markets in West Africa.",Onitsha Market also known as Onitsha Main Market in English is one of the largest markets in West Africa based on land size and the amount of goods sold there.,supports,supports,supports,True,supports,igbo,supports,supports,True,True,correct_to_correct
afrifact_data_culture_yoruba_723,yoruba,"Abíọ́lá ní ìfẹ́ sí ìṣèlú látìgbà tí ó wà ní ọmọ ọdún mọ́kàndínlógún, ó sì bẹ̀rẹ̀ sí í kópa ní ẹgbẹ́ òṣèlú látàrí ìfẹ́ tí ó ní sí i.rẹ̀ sí i.","Abíọ́́lá jẹ́ Olóòtú ìwé ìròyìn ọ̀sọ̀ọ̀sẹ̀ ilé-ìwé wọn tí ó ń jẹ́ tí sì jẹ́ igbákejì rẹ. Ó dára pọ̀ mọ́ ẹgbẹ́ ní ìgbà tí ó di ọmọ ọdún mọ́kàndínlógún nítorí ìfẹ́ tí ó ní sí ètò òṣèlú àwa arawa ó darapọ́ mọ́ ẹgbẹ́ òṣèlú jẹ́ olùdásílẹ̀ rẹ̀ Ní ọdún 1960, Moshood jẹ àǹfàníi ẹ̀kọ́ ọ̀fẹ́ ti ijọba láti lọ ka ìwé ní University ti Glasgow ní ìlú Scotland ni ibi tí ó ti gba oyè nínú ìmọ̀ ìṣirò.",supports,supports,supports,True,yoruba,"Abiola has been interested in politics since he was 19 years old, and he started participating in the political party because of his interest in politics.","Abiola is the Editor of their weekly school newspaper who is and still is your deputy. He joined the party when he was 19 years old because of his interest in the political system of us, he joined the political party and was its founder. In 1960, Moshood was given the opportunity of free education by the government to study at the University of Glasgow in Scotland where he received a degree in mathematics.",supports,supports,supports,True,supports,yoruba,supports,supports,True,True,correct_to_correct
afrifact_data_culture_hausa_081,hausa,Rabiu Musa Kwankwaso ne ya naɗa Sunusi Lamido Sunusi sarautar Kano bayan mutuwar Ado Bayero.,"Ado Bayero ya kasance kafin ya zama sarkin kano shahararren ɗan kasuwa ne, kuma yayi aikin banki, tsohon ɗan sanda ne kuma Sannan yayi aiki a matsayin jakadan [Nijeriya]",nei,nei,nei,True,hausa,Rabiu Musa Kwankwaso appointed Sunusi Lamido Sunusi as the king of Kano after the death of Ado Bayero.,"Ado Bayero was before becoming king of Kano a famous businessman, he also worked as a banker, he was a former policeman and then he worked as an ambassador [to Nigeria]",nei,nei,nei,True,nei,hausa,nei,nei,True,True,correct_to_correct
afrifact_data_culture_igbo_141,igbo,Akwa mmiri ahụ adaala.,"Dịka ọ dị ugbua, amabeghi ihe ha kpatara na nzukọ a.",nei,nei,nei,True,igbo,The bridge has collapsed.,"As of now, their reason for meeting is unknown.",nei,nei,nei,True,nei,igbo,nei,nei,True,True,correct_to_correct
afrifact_data_culture_hausa_389,hausa,"Ango a al'adar Hausawa yana da alhakin siyan kayan lefe kafin aure, sannan kayan ana kai su gidan amarya ta hannun mata.","Al'adar Hausawa ce inda ango ke siyan kayan amfani masu kyau da tsada a matsayin wata babbar kyauta da zai bawa amaryarsa. Wadannan kyaututtukan ango na gama sayen sune kafin Auren shi, bayan sun gama kammaluwa, sai iyayen Ango kama daga Inna, Gwaggonninsa da sauran su, mata ne suke kai kayan gidan Amarya, Ita kuma Amarya sai iyayen ta mata su karba kayan su dan ba iyayen Ango abinci da dan tukuici. ",supports,supports,supports,True,hausa,"In Hausa culture, the groom is responsible for buying lepe clothes before the wedding, and the clothes are taken to the bride's house by the women.","It is a Hausa tradition where the groom buys beautiful and expensive items as a great gift to his bride. These gifts that the groom buys are before the wedding, after they have finished, the groom's parents, including his mother, his puppets and others, are the women who take the things to the bride's house.",supports,nei,nei,False,supports,hausa,supports,nei,True,False,correct_to_wrong
afrifact_data_culture_igbo_241,igbo,Ụfọdụ ụlọakwụkwọ dị na Beijing na Shanghai emepebeghị dịka ụmụakwụkwọ agaghị akwụkwọ taa,Ụfọdụ ụlọakwụkwọ dị na Beijing na Shanghai emepekwaala dịka ụmụakwụkwọ malitere ịga akwụkwọ taa.,refutes,refutes,refutes,True,igbo,Some schools in Beijing and Shanghai have not opened as students will not go to school today,Some schools in Beijing and Shanghai have also reopened as students begin classes today.,refutes,refutes,refutes,True,refutes,igbo,refutes,refutes,True,True,correct_to_correct
afrifact_data_culture_igbo_424,igbo,O bụ ịkọ ọrụ ugbo so na ọrụ ndị mba Brazil dabere na ya isi na-abawanye ọnọdụ akụ na ụba ha ruo ugbu a.,"Mbaise bụ mpaghara dị na Imo Steeti na ndịda ọwụwa anyanwụ . N'etiti , mpaghara ahụ gụnyere ọtụtụ obodo na obodo ukwu. Ndị bi na ya bụ ndị agbụrụ, ndị jikọtara site na alụmdi na nwunye. Mbaise bụ mpaghara kacha nwee ọnụ ọgụgụ mmadụ n'Ebe Ọdịda Anyanwụ Afrịka; ọnụ ọgụgụ ndị bi na ya n'afọ 2006 bụ puku narị isii na iri nà otu, narị abụọ na anọ.",nei,nei,nei,True,igbo,It is farming that is one of the activities that Brazilians rely on to increase their economic status until now.,"Mbaise is a region in Imo State in the south east. In between, the region includes many towns and cities. Its inhabitants are tribal people, who are connected by marriage. Mbaise is the most populous region in West Africa; The population in 2006 was six hundred and eleven thousand, two hundred and four.",nei,nei,nei,True,nei,igbo,nei,nei,True,True,correct_to_correct
afrifact_data_culture_hausa_004,hausa,Muhammadu Buhari ya zama shugan kasa na mulkin soja yana matsayin kanal.,"Muhammadu Buhari (17 Disamba 1942 – 13 Yuli 2025) ne wanda ya yi mulkin ƙasar a matsayin daga 2015 zuwa 2023. Soja ne mai matsayi na majo janar a , kuma ya shugabanci ƙasar a matsayin daga 31 Disamba 1983 zuwa 27 Agusta 1985. Buhari ya tsaya takarar shugaban ƙasa a Najeriya a ƙarƙashin jam’iyyar a zaɓen shugaban ƙasa na 2003 da na 2007, sannan kuma a ƙarƙashin jam’iyyar Congress for Progressive Change (CPC) a zaɓen shugaban ƙasa na 2011",refutes,nei,nei,False,hausa,Muhammadu Buhari became the president of the military regime as a colonel.,"Muhammadu Buhari (17 December 1942 – 13 July 2025) is the one who ruled the country from 2015 to 2023. He is a soldier with the rank of major general, and he led the country from 31 December 1983 to 27 August 1985. Buhari ran for the presidency of Nigeria under the party in the 2003 and 2007 presidential elections, and then under the Congress for Progressive Change (CPC) party in the 2011 presidential election",refutes,refutes,refutes,True,refutes,hausa,nei,refutes,False,True,wrong_to_correct
afrifact_data_culture_igbo_383,igbo,"N'ịgbado ụkwụ n'oke ala nakwa ngwaahịa, Ahịa Main Market Ọnicha akaghị ahịa Arịarịa nke Aba bu ibu",Ahịa Ọnicha nke a makwaara dị ka Onitsha Main Market na bekee bụ otu n'ime ahịa kacha ibu na ọdịda anyanwụ Afrịka dabere na nha ala na oke ngwongwo ahịa a n'ere ebe ahụ.,refutes,nei,nei,False,igbo,"Based on the geographical area and the product, the Main Market is not a large market.",Onitsha Market also known as Onitsha Main Market in English is one of the largest markets in West Africa based on land size and the amount of goods sold there.,refutes,refutes,refutes,True,refutes,igbo,nei,refutes,False,True,wrong_to_correct
afrifact_data_culture_yoruba_562,yoruba,"Ní orílẹ̀-èdè Nàìjíríà, ètò ìkànìyàn bẹ̀rẹ̀ Ní ọdún 1852 láti ṣe àkọsílẹ̀ iye èèyàn tó wà lórílẹ̀-èdè náà.","Gẹ́gẹ́bí àkọsílẹ̀ ètò ìkànìyàn ọdún 2006, àpapọ̀ iye enìyàn tó wà ní Àgbádárìgì jẹ́ 241,093.",nei,nei,nei,True,yoruba,"In Nigeria, the census system started in 1852 to record the number of people in the country.","According to the 2006 census, the total number of people in Agbadarigi is 241,093.",nei,nei,nei,True,nei,yoruba,nei,nei,True,True,correct_to_correct
afrifact_data_culture_igbo_173,igbo,Otu onye bi n'Anambra kwuru na ọ ruola afọ iri mmiri gbadebere na mpaghara ya.,Otu onye bi Enugwu sị na o ruola afọ iri mmiri gbadebere na mpaghara ya bi n'Enugwu.,refutes,refutes,refutes,True,igbo,A resident of Anambra said that it has been 10 years of rain in his area.,A resident of Enugu said that it has been 10 years since he lived in Enugu.,refutes,nei,nei,False,refutes,igbo,refutes,nei,True,False,correct_to_wrong
afrifact_data_culture_hausa_058,hausa,Usman Dan Fodiyo ɗan asalin kabilar Hausawa ne.,Shehu Usman Ɗan Fodiyo yayi yaki a tsakanin shekarar alif dubu ɗaya da ɗari takwas da huɗu (1804) har zuwa alif dubu ɗaya da ɗari takwas da sha biyu (1812) ya fito ne daga ƙabilar Toronkawa na fulani. ya kasance daga zuriyar ɗaya daga cikin dangin (Toronkawa) na ƙabilar dake zaune a cikin tun daga farkon shekara ta alif dubu ɗaya da ɗari hudu (1400),refutes,nei,nei,False,hausa,Usman Dan Fodiyo is a native of the Hausa tribe.,Shehu Usman Son of Fodiyo fought between the year one thousand eight hundred and four alif (1804) until one thousand eight hundred and twelve alif (1812). He was a descendant of one of the families (Toronkawa) of the tribe living in since the beginning of the year one thousand four hundred alif (1400),refutes,nei,nei,False,refutes,hausa,nei,nei,False,False,wrong_to_wrong
afrifact_data_culture_igbo_301,igbo,Naanị ikuku na ọhịa bụ ihe dị ka ọrụ ugbo mkpa iji wee ịga nke ọma,"Ọrụ ugbo chọrọ mmiri, aja di mma na ala di larịị.",refutes,nei,nei,False,igbo,Only the wind and the forest are what agriculture needs to be successful,"Farming requires water, good sand and flat land.",refutes,refutes,refutes,True,refutes,igbo,nei,refutes,False,True,wrong_to_correct
afrifact_data_culture_igbo_735,igbo,"Nnamdị Kanu bụ omeiwu. Ụgbụa, a kpọgara ya ụlọ nga dị na Sokoto.",N'ofesi Otu onye oji egbe agbagbuola ihe ruru mmadụ isii n'otu ụlọọgwụ dị na mba Czech Republic ma gbagbuo onwe ya n'akụkọ ebe ahụ. Ndị uweojii hụrụ ozu nwoke a dịka ọ tọgbọ site n'ọnya egbe ọ gbara onwe ya n'isi.,nei,nei,nei,True,igbo,"Kanu's wife is a member of parliament. Soon, he was taken to a prison in Sokoto.",Abroad A gunman has shot up to six people in a hospital in the Czech Republic and shot himself in the news there. The police found the man's body as he lay with a self-inflicted gunshot wound to the head.,nei,nei,nei,True,nei,igbo,nei,nei,True,True,correct_to_correct
afrifact_data_culture_hausa_250,hausa,Masanin tarihin abinci da aikin gona James C. McCann ya ba da shawarar daina yaɗa shinkafa.,"Masanin tarihin abinci da aikin gona James C. McCann yayi la'akari da wannan ikirarin mai yiwuwa idan aka yi la’akari da shaharar shinkafa a cikin kwarin Niger ta sama, amma yana ganin ba zai yuwu tasa ta iya yaɗuwa daga Senegal zuwa inda take yanzu tunda ba a ganin irin wannan yaɗuwar a cikin “harshe, tsarin siyasa ko tarihi "". Maimakon haka ya ba da shawarar cewa tasa ta yaɗu tare da masarautar Mali, musamman masu sana'ar Djula waɗanda suka bazu ko'ina zuwa cibiyoyin kasuwanci da biranen yanki, tare da ɗaukar fasahar tattalin arziƙin ""ƙera, ƙaramin sikelin, da agronomy shinkafa"" gami da addini. na Musulunci.",refutes,supports,supports,False,hausa,Food and agricultural historian James C. McCann recommends stopping the spread of rice.,"Historian of food and agriculture James C. McCann considers this claim possible given the popularity of rice in the upper Niger valley, but he thinks it is unlikely that it could have spread from Senegal to its current location since such a spread is not seen in ""language, political system or history"". Instead he suggested that the dish spread with the Kingdom of Mali, especially the Djula artisans who spread throughout the commercial centers and regional cities, taking the economic technology of ""production, small scale, and rice agronomy"" as well as religion. Islamic.",refutes,nei,nei,False,refutes,hausa,supports,nei,False,False,wrong_to_wrong
afrifact_data_culture_hausa_827,hausa,Yan majalisar sun ce su wakilan jama'a ne don haka suna da ikon yin ƙarin ayyuka a cikin kasafin.,"Game da ayyukan da aka ce 'yan majalisar sun kara, ya ce su ma wakilai ne ""na jama'a kuma suna da damar sanya ayyukan da za su yi tasiri a rayuwar talaka,"" kamar yadda wata sanarwa da ya aike wa manema labarai ta ce.",supports,refutes,refutes,False,hausa,The MPs said that they are the people's representatives and therefore they have the power to do more in the budget.,"Regarding the activities that the members of parliament have added, he said that they are also representatives ""of the people and have the opportunity to implement activities that will have an impact on the lives of the poor,"" according to a statement he sent to the press.",supports,nei,nei,False,supports,hausa,refutes,nei,False,False,wrong_to_wrong
